Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,14.9,68.8,3.8,182,0
B.FernandesMUNMID,9.8,36.4,7.4,143,2
SemenyoMCIMID,7.9,48.7,3.8,139,0
GabrielARSDEF,7.1,42.9,3.8,135,0
RiceARSMID,7.6,35.7,2.0,134,0
Bruno G.NEWMID,7.0,12.6,3.4,134,3
João PedroCHEFWD,7.6,44.7,9.6,132,10
ThiagoBREFWD,7.0,30.0,2.2,131,0
RogersAVLMID,7.6,30.5,4.4,123,0
ChalobahCHEDEF,5.8,23.8,4.0,122,1
J.TimberARSDEF,6.4,31.2,2.8,121,0
BowenWHUFWD,7.6,8.6,6.0,120,5
EnzoCHEMID,6.9,23.1,5.2,118,2
WilsonFULMID,6.0,20.8,3.2,118,0
TarkowskiEVEDEF,5.7,12.5,3.4,117,1
GuéhiMCIDEF,5.2,36.6,2.4,117,0
LacroixCRYDEF,5.1,6.3,3.0,113,0
MukieleSUNDEF,4.6,13.6,4.0,112,0
GarnerEVEMID,5.2,4.2,3.2,111,2
Matheus N.MCIDEF,5.4,3.2,3.4,111,0
CasemiroMUNMID,5.6,2.3,4.6,110,2
MbeumoMUNMID,8.6,22.3,7.0,109,6
PickfordEVEGKP,5.6,13.8,3.6,108,1
AndersonNFOMID,5.4,5.9,4.2,108,0
RayaARSGKP,5.9,35.3,3.3,106,0
SenesiBOUDEF,4.8,15.5,3.6,106,2
GravenberchLIVMID,5.5,4.6,2.4,106,0
RoefsSUNGKP,4.9,11.7,2.0,105,0
KeaneEVEDEF,4.7,3.8,1.4,103,1
FodenMCIMID,8.2,10.2,0.6,103,0
Calvert-LewinLEEFWD,5.9,11.2,2.6,102,0
EkitikéLIVFWD,8.9,25.4,3.6,102,0
SakaARSMID,9.8,7.8,0.5,101,0
ZubimendiARSMID,5.3,5.9,4.0,101,0
Gibbs-WhiteNFOMID,7.3,3.8,3.8,100,0
Van de VenTOTDEF,4.5,23.9,2.2,100,3
CashAVLDEF,4.9,11.7,2.4,99,0
NetoCHEMID,7.0,5.0,2.2,99,1
AaronsonLEEMID,5.4,0.8,2.8,98,2
JamesCHEDEF,5.6,8.5,2.8,97,0
MuñozCRYDEF,5.9,8.0,1.6,97,0
StachLEEMID,4.7,1.9,2.0,97,0
WirtzLIVMID,8.4,13.7,5.2,97,0
SzoboszlaiLIVMID,6.7,5.2,5.2,97,0
ThiawNEWDEF,5.0,4.3,4.4,97,11
RúbenMCIDEF,5.5,3.3,0.2,96,0
M.FernandesWHUMID,5.5,0.4,6.4,95,3
TavernierBOUMID,5.3,1.1,1.6,94,0
KelleherBREGKP,4.6,10.2,2.6,94,0
VirgilLIVDEF,5.9,21.0,3.0,94,0
WatkinsAVLFWD,8.6,9.0,2.4,93,0
SánchezCHEGKP,4.9,15.1,3.8,93,1
MitchellCRYDEF,5.0,2.0,1.8,93,0
RichardsCRYDEF,4.4,2.7,3.6,93,0
Dewsbury-HallEVEMID,4.9,3.1,3.6,93,2
KonatéLIVDEF,5.4,3.0,2.8,93,0
CunhaMUNMID,8.1,8.7,5.4,93,2
BallardSUNDEF,4.6,3.0,3.2,93,0
TrossardARSMID,6.8,1.3,2.0,92,0
CollinsBREDEF,5.0,3.1,0.6,92,0
HendersonCRYGKP,5.0,7.4,2.6,92,0
ScottBOUMID,5.0,0.8,5.6,90,4
CucurellaCHEDEF,6.1,17.5,4.2,90,1
XhakaSUNMID,5.1,3.6,0.4,90,0
TruffertBOUDEF,4.5,1.7,4.4,89,7
CherkiMCIMID,6.5,9.3,2.6,89,0
RomeroTOTDEF,5.0,3.6,3.2,89,0
E.Le FéeSUNMID,4.9,1.2,3.4,88,0
Van HeckeBHADEF,4.5,3.6,1.8,87,0
NdiayeEVEMID,6.2,3.8,2.8,87,8
AndersenFULDEF,4.6,4.7,2.2,87,0
O'ReillyMCIDEF,4.9,4.5,1.6,87,0
O.DangoBREMID,5.8,0.5,4.4,86,0
SchadeBREMID,6.9,1.1,0.2,86,0
O'BrienEVEDEF,4.9,0.9,3.8,86,-2
GakpoLIVMID,7.3,5.3,2.0,86,0
DalotMUNDEF,4.5,4.6,4.2,86,1
AldereteSUNDEF,4.1,6.4,1.8,86,0
CaicedoCHEMID,5.7,8.0,3.2,85,1
CalafioriARSDEF,5.6,6.6,1.2,84,0
MartinezAVLGKP,5.0,3.7,4.0,84,0
MatetaCRYFWD,7.5,7.3,0.8,84,0
DonnarummaMCIGKP,5.6,8.8,3.0,84,0
WoltemadeNEWFWD,6.9,8.5,1.2,84,1
J.PalhinhaTOTMID,5.5,0.8,1.2,84,1
SalibaARSDEF,6.1,14.4,3.7,83,0
MintehBHAMID,5.6,2.1,0.8,83,0
AyariBHAMID,4.8,0.7,3.4,83,0
ReijndersMCIMID,5.1,10.4,1.0,83,0
VicarioTOTGKP,4.8,6.0,1.6,83,2
RaúlFULFWD,6.1,1.8,3.0,82,0
PalmerCHEMID,10.5,14.3,8.6,79,12
GrealishEVEMID,6.3,6.3,0.6,79,0
PopeNEWGKP,5.1,4.7,2.8,79,2
Pedro PorroTOTDEF,5.2,9.8,1.0,79,0
AmpaduLEEMID,4.9,0.2,3.4,78,2
EvanilsonBOUFWD,7.0,2.9,3.0,77,1
VerbruggenBHAGKP,4.5,5.6,1.8,77,0
GustoCHEDEF,4.9,2.0,0.8,77,0
RodonLEEDEF,3.9,3.7,3.8,77,3
GvardiolMCIDEF,5.9,3.5,0.0,77,0
SummervilleWHUMID,5.6,2.3,7.8,77,3
AnthonyBURMID,5.0,1.8,1.4,76,0
PetrovićBOUGKP,4.5,4.3,3.8,76,3
M.SalahLIVMID,14.0,14.2,2.4,76,0
BarnesNEWMID,6.1,1.4,2.2,76,2
