Player,Cost,Sel.%,Form,Pts.,RP
GuéhiCrystal PalaceDEF,4.5,13.50%,7.7,23,15
SenesiBournemouthDEF,4.5,3.20%,8.3,25,14
ChalobahChelseaDEF,5.1,5.00%,9,27,13
SzoboszlaiLiverpoolMID,6.5,2.00%,5.7,17,13
EnzoChelseaMID,6.6,7.30%,8.3,25,12
Dewsbury-HallEvertonMID,5,4.00%,5.3,16,12
LacroixCrystal PalaceDEF,5,1.80%,7.3,22,11
E.Le FéeSunderlandMID,4.9,0.30%,4.3,13,11
GrealishEvertonMID,6.7,10.80%,7.3,22,10
MbeumoMan UtdMID,8.1,15.80%,4.7,14,10
B.FernandesMan UtdMID,9,21.50%,4.7,14,10
DioufWest HamDEF,4.5,5.50%,4.7,14,10
L.PaquetáWest HamMID,5.9,1.40%,7,21,10
João PedroChelseaFWD,7.7,62.00%,8.7,26,9
MuñozCrystal PalaceDEF,5.5,10.10%,6.3,19,9
GudmundssonLeedsDEF,4,3.70%,5.7,17,9
HaalandMan CityFWD,14.1,31.90%,8,24,9
BowenWest HamFWD,7.8,7.80%,4.3,13,9
EvanilsonBournemouthFWD,7,2.10%,3.7,11,8
GrudaBrightonMID,5.4,0.00%,3.3,10,8
TosinChelseaDEF,4.5,1.10%,3.3,10,8
RichardsCrystal PalaceDEF,4.5,1.60%,5.3,16,8
A.BeckerLiverpoolGKP,5.5,10.30%,3.3,10,8
VirgilLiverpoolDEF,6,24.90%,4.7,14,8
BotmanNewcastleDEF,4.9,0.40%,2.7,8,8
RoefsSunderlandGKP,4.5,1.20%,5.7,17,8
IsidorSunderlandFWD,5.5,0.40%,4.7,14,8
TruffertBournemouthDEF,4.5,1.00%,4.3,13,7
HendersonCrystal PalaceGKP,5,7.30%,5,15,7
SarrCrystal PalaceMID,6.5,7.00%,6,18,7
NdiayeEvertonMID,6.5,9.50%,5.7,17,7
BetoEvertonFWD,5.4,5.60%,3,9,7
RodonLeedsDEF,4,2.60%,5.3,16,7
MarmoushMan CityMID,8.4,7.50%,3,9,7
HermansenWest HamGKP,4.5,0.30%,2.7,8,7
SummervilleWest HamMID,5.5,0.00%,2.3,7,7
WilsonWest HamFWD,5.9,0.40%,3,9,7
R.GomesWolvesDEF,4.5,0.10%,2.7,8,7
Hee ChanWolvesMID,5.9,0.10%,3,9,7
AnthonyBurnleyMID,5.5,0.60%,7,21,6
FosterBurnleyFWD,5,0.60%,3.3,10,6
DiakitéBournemouthDEF,4.5,0.40%,5.3,16,6
Lewis-PotterBrentfordDEF,5,0.40%,4.3,13,6
ThiagoBrentfordFWD,6,1.40%,4.7,14,6
MilnerBrightonMID,5,0.10%,2.3,7,6
