Player,Cost,Sel.%,Form,Pts.,RP
FlemmingBurnleyFWD,5.5,0.20%,1,2,1
HillBournemouthDEF,4,0.80%,1,2,1
KluivertBournemouthMID,7,0.60%,0.5,1,1
ChristieBournemouthMID,5,0.10%,0.5,1,1
AdliBournemouthMID,5.5,0.00%,1,1,1
Kroupi.JrBournemouthFWD,4.5,1.30%,1,2,1
AjerBrentfordDEF,4.5,0.20%,0.5,1,1
HenryBrentfordDEF,4.5,0.20%,1,2,1
HickeyBrentfordDEF,4,0.40%,0.5,1,1
JensenBrentfordMID,5,0.10%,1.5,3,1
OnyekaBrentfordMID,5,0.10%,2.5,5,1
JamesChelseaDEF,5.5,5.90%,3,6,1
FofanaChelseaDEF,4.5,0.20%,0.5,1,1
GittensChelseaMID,6.4,0.20%,1,2,1
Andrey SantosChelseaMID,4.5,0.40%,1,2,1
ByramLeedsDEF,4,0.20%,0.5,1,1
AaronsonLeedsMID,5.5,0.10%,1,2,1
TanakaLeedsMID,5,0.30%,2,4,1
LongstaffLeedsMID,5,0.20%,1,2,1
OkaforLeedsMID,5.5,0.00%,1,1,1
PiroeLeedsFWD,5.5,1.80%,1.5,3,1
NmechaLeedsFWD,5,0.70%,3,6,1
Aït-NouriMan CityDEF,6.1,23.10%,5,10,1
AkéMan CityDEF,5.5,0.70%,0.5,1,1
RúbenMan CityDEF,5.5,3.90%,3.5,7,1
StonesMan CityDEF,5.5,1.00%,3.5,7,1
LewisMan CityDEF,5,3.80%,6,12,1
MarmoushMan CityMID,8.4,8.20%,1,2,1
FodenMan CityMID,8,1.30%,0.5,1,1
BernardoMan CityMID,6.5,0.80%,2,4,1
CherkiMan CityMID,6.5,8.50%,3.5,7,1
DokuMan CityMID,6.5,1.10%,2,4,1
RodrigoMan CityMID,6.4,0.60%,0.5,1,1
N.GonzalezMan CityMID,6,0.10%,2,4,1
RoefsSunderlandGKP,4.5,1.10%,4.5,9,1
BallardSunderlandDEF,4.6,6.70%,9,18,1
HumeSunderlandDEF,4.5,0.30%,3.5,7,1
SeeltSunderlandDEF,4,0.30%,1,2,1
AldereteSunderlandDEF,4,1.30%,2.5,5,1
AdingraSunderlandMID,5.5,1.90%,3.5,7,1
RobertsSunderlandMID,5.4,0.00%,0.5,1,1
E.Le FéeSunderlandMID,5,0.30%,1,2,1
Marc GuiuSunderlandFWD,4.5,19.00%,0.5,1,1
