Player,Cost,Sel.%,Form,Pts.,RP
StachLeedsMID,5,0.90%,5.2,29,15
GravenberchLiverpoolMID,5.5,1.80%,6.8,27,15
IwobiFulhamMID,6.5,1.50%,6,26,13
Calvert-LewinLeedsFWD,5.5,0.30%,3.5,14,11
MaguireMan UtdDEF,4.4,0.60%,3.2,14,11
CashAston VillaDEF,4.6,5.00%,4.2,25,10
AnthonyBurnleyMID,5.5,2.00%,8,34,10
GanaEvertonMID,5.4,0.10%,4.5,20,10
B.FernandesMan UtdMID,9,18.80%,6,26,10
N.WilliamsNott'm ForestDEF,5,6.80%,3.2,14,10
SenesiBournemouthDEF,4.7,11.90%,8.8,37,9
TruffertBournemouthDEF,4.5,1.30%,6,24,9
MintehBrightonMID,5.9,1.00%,5.2,24,9
WilsonFulhamMID,5.4,0.40%,3,17,9
ReijndersMan CityMID,5.6,30.50%,4,26,9
HaalandMan CityFWD,14.2,40.30%,8.2,46,9
BurnNewcastleDEF,5,5.70%,5.8,32,9
IsidorSunderlandFWD,5.5,1.40%,5,25,9
RicharlisonSpursFWD,6.7,13.70%,4,29,9
BowenWest HamFWD,7.7,6.40%,6.7,24,9
DamsgaardBrentfordMID,5.9,0.70%,3.8,15,8
AyariBrightonMID,4.9,0.20%,3.2,16,8
ChalobahChelseaDEF,5.1,9.30%,8,38,8
MitchellCrystal PalaceDEF,5,1.90%,5.2,30,8
OkaforLeedsMID,5.5,0.00%,2.8,11,8
EkitikéLiverpoolFWD,8.7,28.00%,5.2,32,8
BotmanNewcastleDEF,4.9,0.50%,4.2,17,8
MartinelliArsenalMID,6.9,1.00%,2.8,12,7
GuéhiCrystal PalaceDEF,4.7,24.20%,7.5,36,7
WhartonCrystal PalaceMID,5,0.40%,2.5,13,7
MazraouiMan UtdDEF,4.9,0.20%,2.2,9,7
HallNewcastleDEF,5.4,1.30%,2.2,9,7
ThiawNewcastleDEF,4.9,0.10%,2,8,7
KudusSpursMID,6.6,31.50%,3.8,25,7
KrejčíWolvesDEF,4.5,0.00%,2.7,8,7
KamaraAston VillaMID,4.9,0.10%,1.8,9,6
FosterBurnleyFWD,5,1.70%,4,18,6
PetrovićBournemouthGKP,4.5,4.80%,4.8,21,6
MatetaCrystal PalaceFWD,7.6,11.70%,3.8,16,6
NdiayeEvertonMID,6.5,8.90%,6.5,28,6
O’ReillyMan CityDEF,4.9,0.20%,3.2,13,6
PopeNewcastleGKP,5,6.20%,5.8,32,6
LivramentoNewcastleDEF,5.1,9.60%,5.5,31,6
DiakitéBournemouthDEF,4.5,0.40%,5.2,21,5
SemenyoBournemouthMID,7.6,46.00%,6.5,41,5
GeorginioBrightonMID,5.8,0.60%,1.8,13,5
SessegnonFulhamMID,5.4,0.00%,3,12,5
MunizFulhamFWD,5.5,2.50%,2,15,5
M.SalahLiverpoolMID,14.5,52.50%,5.5,30,5
DorguMan UtdDEF,4.5,5.40%,2,9,5
Douglas LuizNott'm ForestMID,5,0.10%,1.2,5,5
EzeArsenalMID,7.5,12.10%,2.8,14,4
MingsAston VillaDEF,4.5,1.60%,4,22,4
DúbravkaBurnleyGKP,4,34.20%,3.8,17,4
