Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,15.1,74.2,7.0,157,2
RiceARSMID,7.2,23.5,7.0,119,17
SemenyoBOUMID,7.6,44.5,6.2,114,1
ThiagoBREFWD,6.9,29.3,5.6,108,17
GabrielARSDEF,6.6,27.1,5.0,106,9
Bruno G.NEWMID,7.1,18.3,5.0,106,10
ChalobahCHEDEF,5.5,17.8,3.4,99,4
GuéhiCRYDEF,5.3,39.9,2.7,99,2
B.FernandesMUNMID,9.1,11.4,5.3,99,0
J.TimberARSDEF,6.3,27.5,4.0,98,3
RogersAVLMID,7.6,30.6,7.4,98,5
FodenMCIMID,8.9,37.1,4.2,98,2
TarkowskiEVEDEF,5.6,12.0,4.6,96,2
SakaARSMID,10.2,20.9,6.2,95,4
RúbenMCIDEF,5.7,6.9,5.6,95,5
WilsonFULMID,5.8,18.1,6.5,93,6
RoefsSUNGKP,4.9,11.3,5.8,93,3
Matheus N.MCIDEF,5.4,3.9,7.0,92,1
EnzoCHEMID,6.4,9.6,5.0,91,11
KeaneEVEDEF,4.8,6.9,3.0,91,0
GravenberchLIVMID,5.7,6.7,5.0,91,2
LacroixCRYDEF,5.1,5.9,2.0,90,3
MuñozCRYDEF,5.8,6.4,0.0,89,0
GarnerEVEMID,5.1,3.2,6.6,89,4
MukieleSUNDEF,4.3,8.8,6.6,89,4
Van de VenTOTDEF,4.5,27.6,5.0,89,7
BowenWHUFWD,7.7,9.7,5.2,88,4
PickfordEVEGKP,5.6,12.9,4.2,87,1
XhakaSUNMID,5.2,7.1,4.2,86,4
StachLEEMID,4.9,3.3,4.6,85,4
EkitikéLIVFWD,9.1,31.4,5.8,84,0
NetoCHEMID,7.2,7.0,2.6,83,2
João PedroCHEFWD,7.2,27.4,3.8,83,2
CasemiroMUNMID,5.5,1.5,4.0,83,7
SenesiBOUDEF,4.8,14.4,2.2,82,1
JamesCHEDEF,5.7,11.2,4.2,82,1
CashAVLDEF,4.8,10.3,1.6,81,5
TavernierBOUMID,5.6,2.4,4.0,81,2
Calvert-LewinLEEFWD,5.9,11.1,6.6,81,2
RayaARSGKP,6.0,34.1,2.8,80,1
AndersonNFOMID,5.3,4.6,3.6,80,4
WatkinsAVLFWD,8.7,11.8,6.8,79,7
SchadeBREMID,7.1,2.3,6.4,79,6
MintehBHAMID,5.9,4.5,2.2,79,0
MitchellCRYDEF,5.0,2.2,1.8,79,2
TrossardARSMID,7.0,1.9,4.0,78,1
MatetaCRYFWD,7.6,11.5,3.2,78,2
O'ReillyMCIDEF,5.3,10.0,3.2,78,2
CalafioriARSDEF,5.6,7.3,1.2,77,0
GrealishEVEMID,6.5,9.8,3.0,77,10
GvardiolMCIDEF,6.1,8.5,4.8,77,1
CollinsBREDEF,4.9,2.0,7.0,76,10
ReijndersMCIMID,5.2,12.3,6.0,76,10
ThiawNEWDEF,5.1,5.1,5.4,76,17
BallardSUNDEF,4.6,2.9,3.6,76,1
AldereteSUNDEF,4.1,6.2,5.2,76,1
Van HeckeBHADEF,4.5,4.4,2.5,75,6
RichardsCRYDEF,4.4,2.0,1.2,75,0
Dewsbury-HallEVEMID,5.0,3.0,0.2,75,0
CherkiMCIMID,6.8,16.0,6.4,75,4
KudusTOTMID,6.4,13.4,2.0,75,1
AndersenFULDEF,4.6,5.7,3.5,74,3
MbeumoMUNMID,8.1,9.2,1.7,74,0
VicarioTOTGKP,4.8,6.9,3.4,74,2
Pedro PorroTOTDEF,5.2,12.7,4.2,74,4
RicharlisonTOTFWD,6.4,7.8,3.0,74,2
NdiayeEVEMID,6.2,3.3,0.4,73,0
VirgilLIVDEF,5.9,22.8,3.4,73,1
GakpoLIVMID,7.3,5.3,1.6,73,6
WoltemadeNEWFWD,7.3,16.8,3.4,73,1
ZubimendiARSMID,5.2,2.2,3.4,72,3
SánchezCHEGKP,4.9,13.9,3.0,72,0
CucurellaCHEDEF,6.1,17.0,1.8,72,0
HendersonCRYGKP,5.1,8.1,2.0,72,2
KonatéLIVDEF,5.4,3.4,4.0,72,1
Gibbs-WhiteNFOMID,7.3,2.9,3.4,72,8
GustoCHEDEF,5.0,2.4,4.2,71,2
E.Le FéeSUNMID,4.9,1.0,3.0,71,4
CullenBURMID,5.0,1.3,1.4,70,0
AaronsonLEEMID,5.4,0.2,4.4,70,7
RomeroTOTDEF,5.0,3.7,2.4,70,2
J.PalhinhaTOTMID,5.5,1.0,1.6,69,0
KelleherBREGKP,4.5,8.9,5.6,68,2
WirtzLIVMID,8.2,10.5,7.2,68,10
SzoboszlaiLIVMID,6.6,4.7,1.8,68,2
DonnarummaMCIGKP,5.7,10.2,5.0,68,2
McGinnAVLMID,5.4,1.0,4.8,67,15
BurnNEWDEF,5.0,3.6,0.2,67,0
L.PaquetáWHUMID,5.9,2.5,3.8,67,0
EzeARSMID,7.4,10.0,0.2,66,0
TruffertBOUDEF,4.5,1.9,2.0,66,1
VerbruggenBHAGKP,4.5,5.8,4.0,65,7
CaicedoCHEMID,5.7,8.0,1.4,65,0
O'BrienEVEDEF,4.9,0.7,3.4,65,0
TeteFULDEF,4.5,0.6,3.5,65,0
HumeSUNDEF,4.5,0.4,4.0,65,2
O.DangoBREMID,5.8,0.4,0.4,64,0
WelbeckBHAFWD,6.3,4.6,1.3,64,1
M.SalahLIVMID,14.0,14.4,1.4,64,0
DalotMUNDEF,4.5,4.7,4.0,64,2
CunhaMUNMID,8.2,13.4,5.8,64,9
MartinezAVLGKP,5.0,3.5,1.8,63,3
AnthonyBURMID,5.1,2.0,1.2,63,2
WhartonCRYMID,5.0,0.8,4.0,63,4
PopeNEWGKP,5.1,4.9,1.6,63,6
RaúlFULFWD,6.2,2.0,4.7,62,5
BentancurTOTMID,5.3,0.2,3.4,62,3
AyariBHAMID,4.8,0.3,4.2,61,12
LenoFULGKP,4.9,1.7,3.5,61,1
DokuMCIMID,6.4,3.0,0.4,61,1
M.FernandesWHUMID,5.5,0.2,3.8,61,2
DúbravkaBURGKP,4.0,33.3,3.4,60,1
Lewis-PotterBREDEF,4.9,2.3,7.0,59,0
MerinoARSMID,5.7,2.1,1.4,58,1
KamaraAVLMID,4.9,0.5,1.6,58,4
ScottBOUMID,5.0,0.2,2.4,58,2
GeorginioBHAMID,5.6,0.5,3.7,58,8
WiefferBHAMID,4.9,0.2,1.0,58,0
AmpaduLEEMID,4.9,0.1,4.4,58,0
BuendíaAVLMID,5.3,0.4,1.8,57,2
UgochukwuBURMID,5.0,0.1,3.8,57,1
KayodeBREDEF,4.5,0.7,3.8,57,0
HendersonBREMID,5.0,0.5,2.6,57,1
YarmoliukBREMID,5.0,0.1,3.8,57,3
RodonLEEDEF,3.9,3.5,1.0,57,0
PetrovićBOUGKP,4.5,4.7,0.8,56,1
EvanilsonBOUFWD,7.0,1.5,3.6,56,7
IwobiFULMID,6.3,0.7,0.7,56,0
SessegnonFULMID,5.4,0.2,0.0,56,0
StruijkLEEDEF,4.3,0.3,5.2,56,8
AmadMUNMID,6.3,0.9,2.2,56,0
DigneAVLDEF,4.5,1.6,0.8,55,1
KonsaAVLDEF,4.4,7.5,1.8,55,2
DamsgaardBREMID,5.8,0.6,2.6,55,4
BasseyFULDEF,4.4,0.3,2.0,55,0
N.WilliamsNFODEF,4.7,3.3,2.4,55,1
SalibaARSDEF,5.9,11.7,2.6,54,1
MalenAVLMID,5.1,0.7,1.6,54,1
F.KadıoğluBHADEF,4.4,0.3,3.7,54,9
MykolenkoEVEDEF,4.9,0.8,3.2,54,0
GyökeresARSFWD,8.8,9.5,2.6,52,2
Van den BergBREDEF,4.5,0.9,2.2,52,0
SarrCRYMID,6.4,2.1,0.3,52,0
A.BeckerLIVGKP,5.4,5.9,4.0,52,1
SpenceTOTDEF,4.3,1.2,3.0,52,1
WilsonWHUFWD,5.8,0.8,2.3,52,2
N.GonzalezMCIMID,5.9,0.1,2.4,51,0
L.MileyNEWMID,4.5,3.6,3.8,51,7
Hudson-OdoiNFOMID,5.7,0.9,5.0,51,0
TalbiSUNMID,4.9,0.1,0.6,51,0
AdamsBOUMID,5.0,0.3,0.2,50,0
GomezBHAMID,4.9,0.2,2.8,50,3
BarnesNEWMID,6.1,1.0,1.2,50,1
J.MurphyNEWMID,6.0,0.8,1.8,50,3
MilenkovićNFODEF,5.1,3.3,3.2,50,3
IsidorSUNFWD,5.3,1.9,0.6,50,0
GudmundssonLEEDEF,3.8,4.1,3.2,49,2
GordonNEWMID,7.4,6.2,4.0,49,2
TonaliNEWMID,5.3,1.0,2.0,49,3
FlorentinoBURMID,5.0,0.0,1.8,48,3
De CuyperBHADEF,4.3,2.3,2.7,48,1
OkaforLEEMID,5.5,0.1,2.0,48,2
SchärNEWDEF,5.3,1.9,3.0,48,8
LivramentoNEWDEF,4.9,2.2,0.6,48,1
Kroupi.JrBOUFWD,4.6,3.8,2.4,47,5
LukićFULMID,4.9,0.1,3.0,47,2
SangaréNFOMID,4.9,0.1,3.6,47,0
GomesWOLMID,5.3,0.1,2.5,47,1
OnanaAVLMID,4.8,0.7,1.6,46,0
HartmanBURDEF,4.0,0.8,0.8,46,0
DorguMUNDEF,4.2,7.2,4.5,46,1
ShawMUNDEF,4.5,0.7,2.3,46,2
HutchinsonNFOMID,5.4,0.2,4.0,46,2
AndréWOLMID,5.3,0.1,2.0,46,1
ØdegaardARSMID,7.8,2.4,5.2,45,7
JaneltBREMID,4.9,0.1,6.4,45,11
DunkBHADEF,4.5,0.9,1.5,45,6
KamadaCRYMID,5.0,0.1,0.5,45,0
YeremyCRYMID,5.8,0.3,2.8,45,2
BogleLEEDEF,4.4,0.2,2.2,45,0
JoelintonNEWMID,5.9,0.3,2.8,45,5
TielemansAVLMID,5.9,1.0,4.8,44,7
GanaEVEMID,5.4,0.1,0.8,44,0
Smith RoweFULMID,5.6,0.8,3.2,44,2
