Player,Cost,Sel.%,Form,Pts.,RP
ReinildoSunderlandDEF,4,8.20%,3.3,16,6
Pedro PorroSpursDEF,5.6,25.30%,5,21,6
XaviSpursMID,7,2.20%,6,6,6
CalafioriArsenalDEF,5.7,13.60%,8.2,33,5
CashAston VillaDEF,4.5,4.90%,2.3,15,5
DigneAston VillaDEF,4.5,2.00%,2.7,14,5
EvanilsonBournemouthFWD,7,2.70%,5,16,5
MuñozCrystal PalaceDEF,5.6,13.80%,6,24,5
NdiayeEvertonMID,6.5,8.50%,5.5,22,5
GarnerEvertonMID,5,0.40%,5.2,21,5
AaronsonLeedsMID,5.4,0.10%,2,8,5
XhakaSunderlandMID,5,2.70%,4.3,16,5
SpenceSpursDEF,4.5,2.40%,4,18,5
TrossardArsenalMID,6.9,0.30%,1.2,5,4
EkdalBurnleyDEF,4,1.30%,5.3,17,4
EstèveBurnleyDEF,4,16.60%,3.7,12,4
HartmanBurnleyDEF,4,0.50%,3.7,12,4
MilosavljevićBournemouthDEF,4.5,0.00%,4,4,4
AjerBrentfordDEF,4.4,0.20%,1.2,5,4
F.KadıoğluBrightonDEF,4.4,0.10%,1.3,4,4
EnzoChelseaMID,6.6,12.90%,7.2,29,4
BergeFulhamMID,5,0.10%,2.7,10,4
RodonLeedsDEF,4,3.20%,5,20,4
AmpaduLeedsMID,4.9,0.00%,1.8,7,4
FrimpongLiverpoolDEF,5.9,8.90%,1.3,5,4
UgarteMan UtdMID,4.9,0.10%,1.5,6,4
AndersonNott'm ForestMID,5.5,5.30%,3.5,14,4
AgbadouWolvesDEF,4.5,0.40%,2.2,9,4
H.BuenoWolvesDEF,4.4,0.10%,1.5,6,4
MaduekeArsenalMID,7,1.60%,2.2,9,3
MerinoArsenalMID,5.9,0.50%,1.8,7,3
NwaneriArsenalMID,5.4,0.20%,1,4,3
RogersAston VillaMID,7,8.00%,2.3,10,3
McGinnAston VillaMID,5.5,0.60%,2.3,10,3
DúbravkaBurnleyGKP,4,34.00%,3.7,13,3
AnthonyBurnleyMID,5.5,1.10%,7.3,24,3
CullenBurnleyMID,5,1.90%,6.3,23,3
TchaounaBurnleyMID,4.9,0.00%,2.3,8,3
SenesiBournemouthDEF,4.6,8.80%,8.7,28,3
CollinsBrentfordDEF,5,1.50%,3.8,15,3
YarmoliukBrentfordMID,5,0.10%,3,12,3
Van HeckeBrightonDEF,4.5,0.90%,1.7,7,3
VeltmanBrightonDEF,4.4,0.20%,1.3,4,3
ChalobahChelseaDEF,5.1,8.40%,7.5,30,3
HughesCrystal PalaceMID,4.9,0.10%,2,8,3
KamadaCrystal PalaceMID,5,0.10%,2.2,9,3
LermaCrystal PalaceMID,5,0.10%,1.5,6,3
YeremyCrystal PalaceMID,6,0.20%,2,4,3
GanaEvertonMID,5.4,0.10%,2.5,10,3
IwobiFulhamMID,6.5,1.40%,3.7,13,3
SessegnonFulhamMID,5.4,0.00%,2.3,7,3
DarlowLeedsGKP,4,2.40%,0.8,3,3
WirtzLiverpoolMID,8.4,18.60%,2.7,10,3
GakpoLiverpoolMID,7.7,18.80%,5.3,23,3
SzoboszlaiLiverpoolMID,6.5,3.40%,6,20,3
GravenberchLiverpoolMID,5.5,0.70%,4,12,3
RodrigoMan CityMID,6.4,0.70%,1.5,6,3
ReijndersMan CityMID,5.7,31.40%,4.2,17,3
BarnesNewcastleMID,6.5,1.00%,2,9,3
JoelintonNewcastleMID,5.9,0.30%,1.7,7,3
TonaliNewcastleMID,5.4,1.30%,2.7,11,3
MurilloNott'm ForestDEF,5.5,4.80%,1.8,7,3
AdingraSunderlandMID,5.5,1.20%,1.7,11,3
DiarraSunderlandMID,5.5,0.10%,3,12,3
SadikiSunderlandMID,5,0.00%,2.3,10,3
TalbiSunderlandMID,5,0.30%,2.7,14,3
KudusSpursMID,6.6,32.00%,2.7,18,3
TelSpursMID,6.3,0.10%,1.3,5,3
J.PalhinhaSpursMID,5.5,0.80%,5,16,3
MavropanosWest HamDEF,4.4,0.10%,3,9,3
JohnstoneWolvesGKP,4.5,0.10%,0.8,3,3
GomesWolvesMID,5.4,0.10%,2,8,3
BuendíaAston VillaMID,5.3,0.10%,1.3,4,2
WatkinsAston VillaFWD,8.8,15.20%,2,8,2
WalkerBurnleyDEF,4.5,1.70%,2.7,9,2
LaurentBurnleyMID,4.9,0.00%,1,5,2
FosterBurnleyFWD,5,1.10%,3.3,12,2
PetrovićBournemouthGKP,4.5,4.50%,4.3,15,2
TruffertBournemouthDEF,4.5,1.20%,5,15,2
HillBournemouthDEF,4,0.90%,2.7,9,2
TavernierBournemouthMID,5.5,1.70%,5.3,20,2
KelleherBrentfordGKP,4.5,9.20%,2.2,9,2
KayodeBrentfordDEF,4.5,0.40%,3.5,14,2
JensenBrentfordMID,4.9,0.10%,1.2,5,2
VerbruggenBrightonGKP,4.5,5.60%,1.7,7,2
DunkBrightonDEF,4.5,1.20%,2.7,10,2
AyariBrightonMID,4.9,0.20%,1.7,8,2
WelbeckBrightonFWD,6.3,2.10%,1.3,5,2
SánchezChelseaGKP,5,23.30%,4.8,19,2
NetoChelseaMID,7,5.40%,3.8,15,2
MatetaCrystal PalaceFWD,7.6,12.10%,2.5,10,2
Dewsbury-HallEvertonMID,5,4.90%,4.5,18,2
IroegbunamEvertonMID,5,0.00%,1.8,7,2
GrealishEvertonMID,6.8,21.80%,6,24,2
BetoEvertonFWD,5.4,5.30%,2.8,11,2
MunizFulhamFWD,5.5,2.40%,1,10,2
BogleLeedsDEF,4.5,0.20%,3.2,13,2
StruijkLeedsDEF,4.5,0.40%,4,16,2
LongstaffLeedsMID,4.9,0.20%,2.2,9,2
OkaforLeedsMID,5.5,0.00%,1,3,2
Calvert-LewinLeedsFWD,5.5,0.20%,1,3,2
EkitikéLiverpoolFWD,8.8,30.10%,4.3,24,2
BayindirMan UtdGKP,5,0.40%,1.8,7,2
MbeumoMan UtdMID,8.1,16.00%,4,16,2
B.FernandesMan UtdMID,9,20.00%,4,16,2
AmadMan UtdMID,6.4,1.80%,2.2,9,2
ŠeškoMan UtdFWD,7.4,5.20%,1.2,5,2
Bruno G.NewcastleMID,6.5,2.50%,3.7,14,2
Gibbs-WhiteNott'm ForestMID,7.5,5.30%,2.8,11,2
SangaréNott'm ForestMID,5,0.10%,2.5,10,2
NdoyeNott'm ForestMID,6.1,3.30%,4.8,19,2
IsidorSunderlandFWD,5.5,0.90%,3.7,16,2
L.PaquetáWest HamMID,5.9,3.50%,7,23,2
Ward-ProwseWest HamMID,5.9,0.30%,2.3,9,2
SummervilleWest HamMID,5.5,0.10%,3,9,2
M.FernandesWest HamMID,5.5,0.00%,2.5,5,2
BowenWest HamFWD,7.8,6.80%,4.3,15,2
MosqueraWolvesDEF,4.4,0.10%,0.5,2,2
R.GomesWolvesDEF,4.5,0.10%,2.5,10,2
TotiWolvesDEF,4.4,0.10%,0.8,3,2
Hee ChanWolvesMID,5.9,0.20%,2.8,11,2
ToluWolvesFWD,5.5,0.00%,2,2,2
Lewis-SkellyArsenalDEF,5.3,2.40%,0.5,2,1
ØdegaardArsenalMID,7.9,2.50%,2,8,1
MartinelliArsenalMID,6.9,1.00%,1.2,5,1
RiceArsenalMID,6.5,8.90%,4.2,17,1
LindelöfAston VillaDEF,4.5,0.00%,1,1,1
TielemansAston VillaMID,5.9,1.60%,1.7,8,1
MalenAston VillaMID,5.2,0.80%,1.3,5,1
ElliottAston VillaMID,5.4,0.50%,0.7,2,1
GuessandAston VillaMID,6.4,0.00%,1,3,1
WorrallBurnleyDEF,4,0.10%,1,3,1
HannibalBurnleyMID,5,0.20%,2.7,10,1
FlorentinoBurnleyMID,5,0.00%,1,1,1
BrojaBurnleyFWD,5.4,0.20%,0.3,1,1
SolerBournemouthDEF,4,0.30%,0.3,1,1
KluivertBournemouthMID,7,0.70%,1,3,1
AdamsBournemouthMID,5,0.40%,2.3,11,1
BrooksBournemouthMID,5,0.40%,2.7,12,1
CookBournemouthMID,4.9,0.00%,0.3,1,1
AdliBournemouthMID,5.5,0.00%,1,3,1
Lewis-PotterBrentfordDEF,5,0.40%,3.5,14,1
HenryBrentfordDEF,4.5,0.10%,0.5,2,1
PinnockBrentfordDEF,4.4,0.10%,0.2,1,1
Van den BergBrentfordDEF,4.5,0.70%,3.8,15,1
HickeyBrentfordDEF,4,0.40%,0.5,2,1
O.DangoBrentfordMID,6,0.90%,5.3,16,1
ThiagoBrentfordFWD,6,1.70%,3.8,15,1
De CuyperBrightonDEF,4.5,3.80%,1,5,1
GeorginioBrightonMID,5.8,0.70%,0.7,8,1
GrudaBrightonMID,5.4,0.10%,3.3,11,1
HinshelwoodBrightonMID,5.3,0.10%,1.3,4,1
MilnerBrightonMID,5,0.10%,2.3,8,1
TzimasBrightonFWD,5.4,0.10%,0.3,1,1
CucurellaChelseaDEF,6.2,28.30%,5,20,1
JamesChelseaDEF,5.5,4.70%,2,8,1
FofanaChelseaDEF,4.4,0.20%,0.5,2,1
TosinChelseaDEF,4.5,1.20%,2.8,11,1
BuonanotteChelseaMID,4.8,0.10%,0.3,1,1
GittensChelseaMID,6.3,0.20%,1,4,1
GarnachoChelseaMID,6.4,0.30%,0.2,1,1
DevennyCrystal PalaceMID,4.5,1.50%,1.2,5,1
UcheCrystal PalaceFWD,5.5,0.00%,1,1,1
RöhlEvertonMID,5,0.00%,1,1,1
BarryEvertonFWD,5.8,0.40%,1.2,5,1
Smith RoweFulhamMID,5.9,0.70%,2.7,9,1
AdamaFulhamMID,5.4,0.20%,0.7,3,1
WilsonFulhamMID,5.4,0.50%,1,8,1
CairneyFulhamMID,4.9,0.00%,0.3,1,1
KingFulhamMID,4.5,3.20%,1.7,7,1
KevinFulhamMID,6,0.10%,1,1,1
RaúlFulhamFWD,6.3,1.30%,1,5,1
GnontoLeedsMID,5.4,0.20%,1.5,6,1
HarrisonLeedsMID,5.3,0.10%,0.8,3,1
JamesLeedsMID,5.4,0.30%,1.8,7,1
StachLeedsMID,5,0.50%,3.5,14,1
NmechaLeedsFWD,5,0.70%,2.2,9,1
RobertsonLiverpoolDEF,5.9,1.10%,0.3,1,1
ChiesaLiverpoolMID,6.5,0.30%,1,9,1
Mac AllisterLiverpoolMID,6.4,1.50%,1.3,9,1
NgumohaLiverpoolMID,4.5,0.50%,2.3,7,1
AkéMan CityDEF,5.4,0.70%,0.5,2,1
SavinhoMan CityMID,6.9,0.40%,0.2,1,1
N.GonzalezMan CityMID,6,0.10%,1.2,5,1
BobbMan CityMID,5.5,0.60%,2.8,11,1
De LigtMan UtdDEF,5,2.90%,3.2,13,1
MazraouiMan UtdDEF,4.9,0.20%,0.5,2,1
DorguMan UtdDEF,4.5,6.00%,1,4,1
MaguireMan UtdDEF,4.4,0.60%,0.8,3,1
ShawMan UtdDEF,4.5,0.30%,1.5,6,1
YoroMan UtdDEF,4.5,2.40%,3,12,1
CasemiroMan UtdMID,5.5,0.20%,2,8,1
MainooMan UtdMID,4.9,0.50%,0.5,2,1
ZirkzeeMan UtdFWD,5.9,0.40%,0.5,2,1
BotmanNewcastleDEF,4.9,0.50%,3,9,1
ElangaNewcastleMID,7,7.70%,1.3,7,1
WillockNewcastleMID,5,0.00%,0.3,1,1
OsulaNewcastleFWD,5.5,0.40%,2.7,9,1
SelsNott'm ForestGKP,5,14.90%,1.8,7,1
MilenkovićNott'm ForestDEF,5.5,7.60%,1.5,6,1
MoratoNott'm ForestDEF,4.4,0.10%,0.2,1,1
McAteeNott'm ForestMID,5.4,0.10%,0.8,3,1
Hudson-OdoiNott'm ForestMID,6,1.50%,3.8,15,1
YatesNott'm ForestMID,4.9,0.10%,0.8,3,1
BakwaNott'm ForestMID,6,0.00%,1,1,1
WoodNott'm ForestFWD,7.6,22.10%,4.5,18,1
KalimuendoNott'm ForestFWD,6,0.10%,1,3,1
GeertruidaSunderlandDEF,4.5,0.00%,1,1,1
RiggSunderlandMID,4.9,0.00%,0.3,2,1
BrobbeySunderlandFWD,5.5,0.10%,1,1,1
DansoSpursDEF,4.4,0.20%,0.7,2,1
UdogieSpursDEF,4.4,0.50%,0.7,2,1
JohnsonSpursMID,7.1,9.20%,3.7,19,1
OdobertSpursMID,5.4,0.00%,1,4,1
RicharlisonSpursFWD,6.7,13.70%,2.3,20,1
HermansenWest HamGKP,4.5,0.30%,2.7,9,1
DioufWest HamDEF,4.4,4.80%,4.7,15,1
KilmanWest HamDEF,4.4,0.20%,2.3,7,1
Walker-PetersWest HamDEF,4.4,0.40%,2.7,8,1
L.GuilhermeWest HamMID,4.9,0.00%,0.3,1,1
IrvingWest HamMID,4.5,0.20%,0.7,3,1
S.MagassaWest HamMID,5,0.00%,1,1,1
WilsonWest HamFWD,5.9,0.40%,3,10,1
TchatchouaWolvesDEF,4.5,0.00%,1,3,1
KrejčíWolvesDEF,4.5,0.00%,0.5,1,1
AndréWolvesMID,5.5,0.10%,2,8,1
BellegardeWolvesMID,5.4,0.10%,1.2,5,1
Fer LópezWolvesMID,5.4,0.00%,0.8,3,1
J.AriasWolvesMID,5.3,0.30%,1.2,5,1
