Player,Cost,Sel.%,Form,Pts.,RP
ZubimendiArsenalMID,5.4,2.70%,6.2,25,16
Van de VenSpursDEF,4.6,30.10%,7,27,14
SemenyoBournemouthMID,7.5,39.00%,7,36,13
HaalandMan CityFWD,14.1,35.00%,9.2,37,13
CaicedoChelseaMID,5.5,8.00%,7.2,29,12
FodenMan CityMID,8,1.80%,3.2,13,12
RomeroSpursDEF,5,5.90%,7,27,12
BergvallSpursMID,5.4,0.20%,4.3,16,11
AndersenFulhamDEF,4.5,3.20%,5.7,19,10
DokuMan CityMID,6.4,1.10%,3.8,15,10
RoefsSunderlandGKP,4.5,1.70%,6.3,27,10
MukieleSunderlandDEF,4,0.50%,4.7,14,10
GabrielArsenalDEF,6.1,21.90%,5.8,23,9
MingsAston VillaDEF,4.5,1.40%,4,18,9
BogardeAston VillaDEF,4,0.40%,3.3,10,9
ScottBournemouthMID,5,0.20%,4.7,16,9
BasseyFulhamDEF,4.5,0.50%,4,13,9
KonatéLiverpoolDEF,5.5,3.10%,5,16,9
M.SalahLiverpoolMID,14.5,53.80%,5.7,25,9
WoltemadeNewcastleFWD,7,2.10%,9,9,9
AldereteSunderlandDEF,4,1.40%,4.7,18,9
J.TimberArsenalDEF,5.7,11.30%,8.5,34,8
TarkowskiEvertonDEF,5.5,7.00%,5.8,23,8
LenoFulhamGKP,5,1.60%,4.3,16,8
VirgilLiverpoolDEF,6.1,28.30%,6.3,22,8
KhusanovMan CityDEF,5.4,0.40%,2.5,10,8
PopeNewcastleGKP,5,5.90%,5.7,26,8
SchärNewcastleDEF,5.5,3.00%,5,23,8
TrippierNewcastleDEF,5,2.90%,5,21,8
VicarioSpursGKP,5.1,10.20%,6.7,29,8
P.M.SarrSpursMID,5,2.80%,4.3,19,8
MosqueraArsenalDEF,5.4,0.20%,2.5,10,7
SchadeBrentfordMID,7,0.30%,2.8,11,7
CarvalhoBrentfordMID,4.9,0.20%,2.5,10,7
MitomaBrightonMID,6.4,4.80%,4.7,16,7
PalmerChelseaMID,10.4,19.20%,2.5,10,7
João PedroChelseaFWD,7.7,66.50%,8.2,33,7
RayaArsenalGKP,5.5,23.50%,6,24,6
EzeArsenalMID,7.5,12.20%,2.5,10,6
GyökeresArsenalFWD,9,25.50%,5,20,6
MartinezAston VillaGKP,5,1.90%,2.7,8,6
KonsaAston VillaDEF,4.5,12.90%,2.3,10,6
HendersonBrentfordMID,5,0.30%,3.2,13,6
MintehBrightonMID,5.9,0.80%,4,15,6
HendersonCrystal PalaceGKP,5,8.10%,5.2,21,6
LacroixCrystal PalaceDEF,5,3.70%,7,28,6
MitchellCrystal PalaceDEF,5,1.90%,5.5,22,6
GuéhiCrystal PalaceDEF,4.6,21.10%,7.2,29,6
RichardsCrystal PalaceDEF,4.5,2.00%,5.5,22,6
PickfordEvertonGKP,5.5,11.70%,6,24,6
O'BrienEvertonDEF,5,0.50%,3.8,15,6
KeaneEvertonDEF,4.5,0.60%,4.8,19,6
TeteFulhamDEF,4.5,0.20%,3.7,13,6
LukićFulhamMID,5,0.10%,3.3,12,6
A.BeckerLiverpoolGKP,5.5,10.90%,5,16,6
DonnarummaMan CityGKP,5.5,1.90%,6,6,6
GvardiolMan CityDEF,5.8,3.20%,1.5,6,6
RúbenMan CityDEF,5.5,4.00%,3.5,14,6
O’ReillyMan CityDEF,4.9,0.10%,1.8,7,6
BernardoMan CityMID,6.4,0.60%,3,12,6
BurnNewcastleDEF,5,5.60%,4.7,23,6
LivramentoNewcastleDEF,5.1,9.50%,5.3,25,6
J.MurphyNewcastleMID,6.3,1.20%,3,10,6
HumeSunderlandDEF,4.5,0.30%,3,15,6
