Player,Cost,Sel.%,Form,Pts.,RP
GustoChelseaDEF,4.9,1.10%,6,39,15
KeaneEvertonDEF,4.5,1.20%,5.2,56,15
MartinezAston VillaGKP,5,2.20%,6.2,40,14
ThiagoBrentfordFWD,6.3,9.50%,7,60,13
Matheus N.Man CityDEF,5.3,0.70%,6,45,13
SakaArsenalMID,10.1,17.20%,6.2,45,12
SoučekWest HamMID,5.7,0.20%,5.5,26,12
BuendíaAston VillaMID,5.3,0.30%,5.5,39,11
GarnachoChelseaMID,6.4,0.70%,5.2,24,11
MitchellCrystal PalaceDEF,5,2.20%,5,55,11
O’ReillyMan CityDEF,4.9,1.40%,7.8,51,11
DokuMan CityMID,6.4,4.70%,3.8,44,11
CullenBurnleyMID,5,2.30%,4,53,10
CanvotCrystal PalaceDEF,4.5,0.00%,2.8,11,10
GanaEvertonMID,5.4,0.10%,4.5,42,10
Gibbs-WhiteNott'm ForestMID,7.3,3.20%,5.5,40,10
BallardSunderlandDEF,4.6,2.60%,6.5,49,10
TrossardArsenalMID,6.9,0.80%,7,40,9
DigneAston VillaDEF,4.5,1.60%,5.2,42,9
OnanaAston VillaMID,4.8,0.70%,4.2,24,9
NetoChelseaMID,7.1,6.00%,8,52,9
HendersonCrystal PalaceGKP,5,7.60%,4.5,45,9
Dewsbury-HallEvertonMID,4.9,2.80%,3.8,35,9
De LigtMan UtdDEF,5,3.00%,3.2,39,9
BarnesNewcastleMID,6.3,0.40%,3,24,9
AndersonNott'm ForestMID,5.3,3.00%,4.8,41,9
SchadeBrentfordMID,7,0.70%,5.5,40,8
RichardsCrystal PalaceDEF,4.5,3.30%,4.8,52,8
NmechaLeedsFWD,5,0.60%,2.8,23,8
N.GonzalezMan CityMID,5.9,0.10%,4.2,28,8
AmadMan UtdMID,6.3,1.60%,5.8,37,8
HutchinsonNott'm ForestMID,5.4,0.00%,2.2,13,8
João PedroChelseaFWD,7.5,48.30%,5,59,7
PickfordEvertonGKP,5.5,9.60%,3,42,7
AaronsonLeedsMID,5.4,0.20%,5.5,41,7
MamardashviliLiverpoolGKP,4.3,1.00%,4.2,19,7
MbeumoMan UtdMID,8.4,31.40%,8.2,60,7
OdobertSpursMID,5.3,0.00%,2.5,19,7
Walker-PetersWest HamDEF,4.3,0.30%,2.5,21,7
WilsonWest HamFWD,5.8,0.40%,2.8,22,7
CashAston VillaDEF,4.6,5.40%,5.8,52,6
KonsaAston VillaDEF,4.4,8.40%,4.2,33,6
PauAston VillaDEF,4.3,0.40%,4.2,25,6
MalenAston VillaMID,5.1,0.70%,2.5,32,6
BarkleyAston VillaMID,4.8,0.00%,2.2,10,6
VerbruggenBrightonGKP,4.4,4.00%,3.8,26,6
DunkBrightonDEF,4.5,1.10%,3.5,29,6
F.KadıoğluBrightonDEF,4.4,0.20%,3.2,22,6
SánchezChelseaGKP,4.8,13.70%,4.5,37,6
CucurellaChelseaDEF,6.1,22.00%,5.5,49,6
ChalobahChelseaDEF,5.1,8.00%,5,55,6
FofanaChelseaDEF,4.4,0.20%,3,15,6
MuñozCrystal PalaceDEF,5.7,15.80%,6,60,6
LacroixCrystal PalaceDEF,5,3.80%,4.8,56,6
MykolenkoEvertonDEF,4.9,0.40%,2.5,17,6
DonnarummaMan CityGKP,5.7,10.00%,4,31,6
GvardiolMan CityDEF,5.8,5.10%,2.5,34,6
RúbenMan CityDEF,5.5,4.40%,4.5,45,6
MaguireMan UtdDEF,4.4,0.80%,4.2,33,6
TelSpursMID,6.3,0.10%,2,23,6
RicharlisonSpursFWD,6.4,7.80%,3,44,6
MerinoArsenalMID,5.9,1.00%,2,23,5
ZubimendiArsenalMID,5.4,2.90%,4,48,5
UgochukwuBurnleyMID,5,0.10%,4.8,32,5
FlemmingBurnleyFWD,5.3,0.30%,5.2,25,5
Van HeckeBrightonDEF,4.4,1.30%,4.5,40,5
TarkowskiEvertonDEF,5.4,6.00%,2.8,43,5
IroegbunamEvertonMID,4.9,0.00%,1.8,18,5
BernardoMan CityMID,6.3,0.50%,2.5,25,5
DorguMan UtdDEF,4.3,2.90%,1.5,16,5
B.FernandesMan UtdMID,8.9,16.20%,5.5,50,5
CasemiroMan UtdMID,5.5,1.00%,8,47,5
WoltemadeNewcastleFWD,7.4,22.20%,4,40,5
SangaréNott'm ForestMID,4.9,0.10%,1.8,18,5
NdoyeNott'm ForestMID,5.7,1.20%,2,32,5
BrobbeySunderlandFWD,5.5,0.10%,2.5,13,5
