Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,14.8,67.4,5.4,193,0
SemenyoMCIMID,8.1,53.6,5.6,158,1
RiceARSMID,7.5,33.2,4.3,152,0
B.FernandesMUNMID,9.9,37.6,4.8,145,0
GabrielARSDEF,7.1,42.6,3.8,144,0
ThiagoBREFWD,7.1,33.6,3.2,140,5
João PedroCHEFWD,7.6,45.9,7.0,139,0
Bruno G.NEWMID,6.8,6.1,2.8,134,0
BowenWHUFWD,7.6,7.8,5.2,131,7
RogersAVLMID,7.7,31.2,3.6,129,2
VirgilLIVDEF,6.1,29.0,7.8,129,7
WilsonFULMID,6.0,22.1,2.8,128,0
J.TimberARSDEF,6.3,27.7,2.8,127,0
GuéhiMCIDEF,5.2,36.7,3.2,127,1
ChalobahCHEDEF,5.7,20.4,2.4,126,0
TarkowskiEVEDEF,5.7,10.7,1.8,121,3
EnzoCHEMID,6.7,17.9,2.8,120,0
SakaARSMID,9.8,7.6,3.0,119,0
GarnerEVEMID,5.2,3.7,3.6,119,6
GravenberchLIVMID,5.5,5.1,4.4,119,5
EkitikéLIVFWD,9.0,27.7,6.2,118,12
Matheus N.MCIDEF,5.4,3.2,2.6,118,1
O'ReillyMCIDEF,5.0,9.9,6.8,118,1
AndersonNFOMID,5.4,6.4,4.2,118,0
LacroixCRYDEF,5.1,5.0,3.2,116,0
SenesiBOUDEF,4.9,16.2,4.2,115,4
MbeumoMUNMID,8.7,24.1,4.4,115,0
CasemiroMUNMID,5.6,2.5,4.6,115,0
MukieleSUNDEF,4.6,11.6,2.6,115,0
RayaARSGKP,6.0,34.2,3.2,112,0
PickfordEVEGKP,5.6,13.0,1.6,111,2
RoefsSUNGKP,4.9,11.4,2.4,110,2
ZubimendiARSMID,5.3,5.0,4.7,109,0
HendersonCRYGKP,5.0,7.5,5.4,109,0
StachLEEMID,4.7,2.1,2.8,109,1
KonatéLIVDEF,5.5,4.1,5.6,109,1
FodenMCIMID,8.1,9.0,1.4,109,0
NetoCHEMID,7.0,4.8,2.6,107,0
MuñozCRYDEF,5.9,8.3,3.4,107,0
KeaneEVEDEF,4.6,3.5,2.0,106,1
MitchellCRYDEF,5.0,2.1,4.0,105,0
Calvert-LewinLEEFWD,5.8,9.4,2.4,105,1
Gibbs-WhiteNFOMID,7.3,3.4,3.0,105,0
BallardSUNDEF,4.6,3.2,4.4,105,4
SzoboszlaiLIVMID,6.8,9.4,4.0,104,4
JamesCHEDEF,5.6,8.0,1.4,103,0
Dewsbury-HallEVEMID,5.0,3.4,5.4,103,6
RúbenMCIDEF,5.5,3.3,1.6,103,1
AaronsonLEEMID,5.4,0.6,2.2,102,1
E.Le FéeSUNMID,4.9,1.4,4.2,102,2
M.FernandesWHUMID,5.5,0.4,4.4,102,2
CashAVLDEF,4.9,10.9,1.2,101,0
Van HeckeBHADEF,4.4,3.7,3.2,101,0
ThiawNEWDEF,5.0,4.5,3.2,101,1
TavernierBOUMID,5.3,1.2,1.2,100,5
WirtzLIVMID,8.3,11.4,3.4,100,0
