Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,14.5,54.9,1.3,197,0
B.FernandesMUNMID,10.3,44.3,9.2,189,13
SemenyoMCIMID,8.2,53.6,5.7,174,0
GabrielARSDEF,7.2,43.2,9.7,173,0
João PedroCHEFWD,7.8,50.5,6.2,164,2
RiceARSMID,7.3,26.2,3.7,163,0
ThiagoBREFWD,7.3,36.8,4.5,153,4
WilsonFULMID,6.1,25.0,6.0,152,9
J.TimberARSDEF,6.3,26.9,7.3,149,0
BowenWHUFWD,7.5,8.7,4.8,143,2
TarkowskiEVEDEF,5.7,11.2,5.0,142,6
GarnerEVEMID,5.2,4.2,5.6,139,6
RogersAVLMID,7.5,24.4,2.8,138,6
AndersonNFOMID,5.5,8.4,5.0,138,5
SenesiBOUDEF,5.1,19.8,6.5,137,1
VirgilLIVDEF,6.3,34.9,3.2,135,3
GuéhiMCIDEF,5.1,33.8,3.0,135,0
CasemiroMUNMID,5.7,3.2,4.8,134,1
Bruno G.NEWMID,6.8,4.5,0.0,134,0
SakaARSMID,9.8,8.0,4.7,133,0
Gibbs-WhiteNFOMID,7.4,4.9,7.0,133,8
ChalobahCHEDEF,5.5,14.1,1.2,131,0
RayaARSGKP,6.0,34.5,5.7,129,0
EnzoCHEMID,6.6,14.9,2.2,129,2
LacroixCRYDEF,5.1,4.6,4.0,128,0
Matheus N.MCIDEF,5.3,3.0,3.7,128,0
PickfordEVEGKP,5.6,13.5,3.6,126,7
EkitikéLIVFWD,9.3,35.6,4.8,125,1
O'ReillyMCIDEF,5.0,9.0,2.7,125,0
GravenberchLIVMID,5.5,4.9,2.5,124,3
SzoboszlaiLIVMID,7.0,13.9,5.8,123,3
TruffertBOUDEF,4.7,3.2,6.8,122,4
StachLEEMID,4.7,2.8,3.5,122,3
MbeumoMUNMID,8.6,22.2,2.6,122,2
Van HeckeBHADEF,4.5,5.0,4.8,120,4
KeaneEVEDEF,4.6,3.2,3.0,118,8
BallardSUNDEF,4.7,3.8,4.2,118,0
ZubimendiARSMID,5.1,3.6,2.7,117,0
Dewsbury-HallEVEMID,5.1,5.0,4.8,117,3
CunhaMUNMID,8.0,8.3,4.8,117,6
HendersonCRYGKP,5.0,8.2,2.0,115,0
MukieleSUNDEF,4.5,7.1,0.0,115,0
KelleherBREGKP,4.8,13.5,4.0,114,9
MitchellCRYDEF,5.0,2.1,3.0,114,0
RichardsCRYDEF,4.4,2.5,5.0,114,0
ThiawNEWDEF,5.1,8.2,3.5,114,0
JamesCHEDEF,5.6,7.4,2.5,113,0
NdiayeEVEMID,6.2,4.3,4.8,112,10
RúbenMCIDEF,5.5,3.4,3.3,112,0
FodenMCIMID,8.0,8.1,1.0,112,0
KonatéLIVDEF,5.5,4.4,0.8,111,0
Calvert-LewinLEEFWD,5.6,7.9,1.5,110,2
RoefsSUNGKP,4.8,8.2,0.5,110,0
WatkinsAVLFWD,8.5,8.1,3.0,109,9
TavernierBOUMID,5.4,2.1,3.5,109,2
MuñozCRYDEF,5.8,7.2,0.7,109,0
AaronsonLEEMID,5.4,0.6,2.0,109,3
ScottBOUMID,5.0,1.2,3.2,108,2
NetoCHEMID,7.0,4.1,0.2,108,2
E.Le FéeSUNMID,4.9,1.2,2.0,108,1
SalibaARSDEF,6.1,13.2,7.0,107,0
M.FernandesWHUMID,5.5,0.4,1.8,107,2
CashAVLDEF,4.7,8.6,1.2,106,6
O.DangoBREMID,6.0,3.9,4.2,106,1
WelbeckBHAFWD,6.2,4.8,6.0,106,12
GakpoLIVMID,7.3,5.9,3.5,106,2
MartinezAVLGKP,5.1,4.8,2.5,105,6
AnthonyBURMID,5.0,2.0,4.8,105,2
CollinsBREDEF,4.9,2.9,3.0,105,6
WirtzLIVMID,8.3,9.4,1.2,105,2
AndersenFULDEF,4.6,6.8,2.8,104,4
RaúlFULFWD,6.2,3.1,2.5,104,5
DonnarummaMCIGKP,5.6,9.3,2.7,104,0
N.WilliamsNFODEF,4.7,2.9,5.2,104,15
AldereteSUNDEF,4.1,6.6,3.5,103,1
PetrovićBOUGKP,4.5,5.2,4.2,102,2
SchadeBREMID,6.9,2.0,3.8,102,3
SánchezCHEGKP,4.8,13.1,1.8,102,2
O'BrienEVEDEF,4.9,0.7,3.2,102,6
AmpaduLEEMID,4.9,0.2,4.0,102,5
GyökeresARSFWD,8.8,11.5,3.3,101,0
VerbruggenBHAGKP,4.5,5.5,3.8,101,3
CherkiMCIMID,6.3,6.9,3.0,100,0
TrossardARSMID,6.6,0.8,0.7,99,0
RodonLEEDEF,3.9,4.2,4.5,99,6
XhakaSUNMID,5.1,3.3,2.0,99,4
DalotMUNDEF,4.6,5.1,2.4,98,1
GordonNEWMID,7.4,7.2,7.5,98,10
Van de VenTOTDEF,4.4,19.0,-0.5,98,1
M.SalahLIVMID,14.0,14.1,3.0,97,0
PalmerCHEMID,10.6,16.4,3.5,96,2
CaicedoCHEMID,5.7,7.5,2.2,96,2
MilenkovićNFODEF,5.1,3.2,4.0,96,9
KonsaAVLDEF,4.4,8.2,2.0,95,6
MintehBHAMID,5.5,1.9,2.8,95,1
IwobiFULMID,6.4,2.6,4.0,95,1
EzeARSMID,7.2,7.9,2.7,94,0
EvanilsonBOUFWD,6.8,2.2,3.8,94,5
CucurellaCHEDEF,6.0,14.2,1.0,94,1
ŠeškoMUNFWD,7.4,6.9,4.6,94,0
J.PalhinhaTOTMID,5.5,0.8,1.5,94,0
CalafioriARSDEF,5.6,5.9,2.3,93,0
SarrCRYMID,6.3,3.8,6.7,93,0
StruijkLEEDEF,4.3,0.5,4.2,93,5
WoltemadeNEWFWD,6.7,6.8,2.0,93,5
RicharlisonTOTFWD,6.3,5.7,4.2,93,2
KayodeBREDEF,4.5,1.0,4.8,92,6
SummervilleWHUMID,5.6,1.6,3.0,92,0
J.GomesWOLMID,5.3,0.3,8.0,92,0
GustoCHEDEF,4.9,1.9,2.0,91,1
WhartonCRYMID,5.0,0.6,4.3,91,0
Van den BergBREDEF,4.6,1.5,4.8,90,6
VicarioTOTGKP,4.7,5.5,1.8,90,2
RomeroTOTDEF,5.0,3.1,0.2,90,1
Lewis-PotterBREDEF,4.8,1.7,3.0,89,6
GomezBHAMID,4.9,0.4,5.0,89,6
LenoFULGKP,4.9,2.0,3.8,89,3
A.BeckerLIVGKP,5.4,6.2,1.8,89,0
DúbravkaBURGKP,4.0,31.9,2.5,88,2
HumeSUNDEF,4.5,0.3,3.2,88,1
DamsgaardBREMID,5.6,0.9,5.8,87,0
F.KadıoğluBHADEF,4.4,0.4,3.2,86,2
ReijndersMCIMID,5.0,9.3,0.7,86,0
DigneAVLDEF,4.5,1.6,3.2,85,7
AyariBHAMID,4.8,0.4,0.5,85,1
MatetaCRYFWD,7.5,6.5,0.3,85,0
Mac AllisterLIVMID,6.3,2.5,5.0,85,1
