Player,Cost,Sel.%,Form,Pts.,RP
JamesChelseaDEF,5.4,5.30%,8.3,37,18
MatetaCrystal PalaceFWD,7.6,12.00%,7,37,17
MukieleSunderlandDEF,4,3.10%,7.5,44,17
WalkerBurnleyDEF,4.4,1.60%,4.7,25,14
AcheampongChelseaDEF,3.9,1.50%,5.3,25,14
WelbeckBrightonFWD,6.3,3.00%,8.3,31,13
HaalandMan CityFWD,14.6,65.60%,11.5,83,13
GabrielArsenalDEF,6.3,33.10%,9,59,12
Kroupi.JrBournemouthFWD,4.5,2.20%,4.5,21,12
NetoChelseaMID,7,4.30%,5.3,32,12
BentancurSpursMID,5.3,0.20%,6,26,12
O’ReillyMan CityDEF,4.9,0.90%,6,31,11
MaguireMan UtdDEF,4.4,0.80%,4.3,27,11
HumeSunderlandDEF,4.5,0.30%,5.5,37,11
TrossardArsenalMID,6.9,0.40%,4.2,22,10
UgochukwuBurnleyMID,5,0.10%,6,23,10
MuñozCrystal PalaceDEF,5.6,13.10%,6.7,46,10
BallardSunderlandDEF,4.6,2.40%,3.8,33,10
DúbravkaBurnleyGKP,4,34.30%,4,29,9
CollinsBrentfordDEF,4.9,1.20%,4,27,9
KayodeBrentfordDEF,4.5,0.30%,4.3,28,9
MbeumoMan UtdMID,8,13.90%,5.7,36,9
J.PalhinhaSpursMID,5.5,1.30%,6.3,39,9
EstèveBurnleyDEF,4,13.10%,2.3,23,8
TuanzebeBurnleyDEF,3.9,1.80%,3,9,8
FlorentinoBurnleyMID,5,0.00%,5.3,20,8
ThiagoBrentfordFWD,6.1,4.00%,7.7,40,8
CucurellaChelseaDEF,6.1,22.20%,5,35,8
B.FernandesMan UtdMID,8.9,16.80%,3.3,36,8
WoltemadeNewcastleFWD,7.4,16.70%,5.8,32,8
SakaArsenalMID,10,14.00%,4.5,27,7
RogersAston VillaMID,6.8,5.10%,4.8,29,7
BuendíaAston VillaMID,5.3,0.20%,5,24,7
GeorginioBrightonMID,5.7,0.40%,3.3,23,7
WiefferBrightonMID,4.9,0.10%,3.7,19,7
GakpoLiverpoolMID,7.5,12.70%,5,40,7
Matheus N.Man CityDEF,5.3,0.60%,6.2,28,7
RoefsSunderlandGKP,4.6,5.50%,5.2,48,7
RayaArsenalGKP,5.7,28.50%,4,40,6
SalibaArsenalDEF,6,12.60%,3.8,31,6
CalafioriArsenalDEF,5.8,14.90%,3.8,48,6
J.TimberArsenalDEF,5.9,20.70%,5,54,6
HartmanBurnleyDEF,4,0.60%,4.3,27,6
TchaounaBurnleyMID,4.9,0.00%,3,19,6
KelleherBrentfordGKP,4.5,8.00%,5.7,27,6
AjerBrentfordDEF,4.4,0.20%,2.7,14,6
Van den BergBrentfordDEF,4.5,0.60%,3.3,26,6
SchadeBrentfordMID,7,0.50%,3.7,24,6
JensenBrentfordMID,4.9,0.10%,4.3,18,6
ChalobahChelseaDEF,5.1,7.70%,1,41,6
DonnarummaMan CityGKP,5.7,10.00%,3.8,21,6
AkéMan CityDEF,5.4,0.70%,2,10,6
RúbenMan CityDEF,5.5,4.40%,4.8,33,6
SavinhoMan CityMID,6.9,0.50%,3,13,6
AldereteSunderlandDEF,4.1,6.90%,6.8,45,6
DigneAston VillaDEF,4.5,1.80%,3,26,5
TavernierBournemouthMID,5.5,1.20%,3,32,5
ChristieBournemouthMID,5,0.10%,2.8,13,5
SánchezChelseaGKP,4.9,14.30%,2.7,24,5
