Player,Cost,Sel.%,Form,Pts.,RP
Mac AllisterLiverpoolMID,6.3,1.20%,3,24,6
E.Le FéeSunderlandMID,4.9,0.40%,4,32,6
SoučekWest HamMID,5.7,0.20%,3.3,14,6
ScottBournemouthMID,5,0.30%,3.3,34,5
KamadaCrystal PalaceMID,5,0.20%,3,29,5
BergeFulhamMID,4.9,0.10%,3,25,5
RaúlFulhamFWD,6.2,0.90%,4,24,5
VirgilLiverpoolDEF,6,23.30%,3.7,40,5
B.FernandesMan UtdMID,8.9,16.30%,5.7,45,5
YatesNott'm ForestMID,4.7,0.10%,2,10,5
Igor JesusNott'm ForestFWD,5.8,0.70%,2.3,13,5
KeaneEvertonDEF,4.5,1.10%,2,41,4
GanaEvertonMID,5.4,0.10%,2.7,32,4
FodenMan CityMID,8,4.30%,2.7,28,4
N.GonzalezMan CityMID,5.9,0.10%,3,20,4
CunhaMan UtdMID,7.9,4.30%,4.7,23,4
Bruno G.NewcastleMID,6.6,3.70%,5.3,46,4
AndersonNott'm ForestMID,5.3,3.00%,3.3,32,4
BallardSunderlandDEF,4.6,2.40%,5.3,39,4
VicarioSpursGKP,5.1,10.00%,3.7,46,4
P.M.SarrSpursMID,4.9,1.70%,3.7,35,4
J.PalhinhaSpursMID,5.5,1.70%,6,48,4
TodiboWest HamDEF,4.3,0.10%,1.7,6,4
MunetsiWolvesMID,5.4,0.10%,5.3,35,4
SakaArsenalMID,10.1,17.10%,4.3,33,3
ZubimendiArsenalMID,5.4,3.30%,3.7,43,3
EzeArsenalMID,7.6,14.00%,5.7,39,3
TuanzebeBurnleyDEF,3.9,1.80%,4,13,3
SenesiBournemouthDEF,5,26.00%,3.3,56,3
Van den BergBrentfordDEF,4.5,0.60%,4,32,3
GeorginioBrightonMID,5.7,0.40%,4,28,3
AyariBrightonMID,4.9,0.30%,2,26,3
BalebaBrightonMID,4.7,2.00%,2,14,3
NetoChelseaMID,7.1,6.20%,7.7,43,3
GarnachoChelseaMID,6.4,0.40%,3.3,13,3
SarrCrystal PalaceMID,6.6,11.80%,2.3,43,3
YeremyCrystal PalaceMID,5.8,0.10%,1.7,14,3
IwobiFulhamMID,6.5,1.60%,2.7,38,3
KingFulhamMID,4.5,4.00%,2,18,3
KevinFulhamMID,6,0.10%,1.7,8,3
GakpoLiverpoolMID,7.6,13.80%,4,45,3
PopeNewcastleGKP,5.2,12.10%,2.7,49,3
MurilloNott'm ForestDEF,5.3,2.00%,1.7,12,3
SadikiSunderlandMID,5,0.10%,2.7,22,3
XaviSpursMID,6.7,1.50%,2.7,18,3
AreolaWest HamGKP,4.3,2.10%,2.3,13,3
KamaraAston VillaMID,4.9,0.20%,2,21,2
WatkinsAston VillaFWD,8.5,6.50%,1.7,25,2
DúbravkaBurnleyGKP,4,34.40%,4.3,33,2
AnthonyBurnleyMID,5.7,6.00%,2,47,2
LaurentBurnleyMID,4.9,0.00%,1.3,15,2
UgochukwuBurnleyMID,5,0.10%,4.7,27,2
FlorentinoBurnleyMID,5,0.10%,4,24,2
PetrovićBournemouthGKP,4.5,5.60%,4,39,2
TruffertBournemouthDEF,4.5,2.30%,4.3,45,2
SemenyoBournemouthMID,8.1,64.40%,3,75,2
TavernierBournemouthMID,5.5,1.60%,6,45,2
BrooksBournemouthMID,5,0.20%,0.7,20,2
Kroupi.JrBournemouthFWD,4.6,4.30%,6.7,29,2
O.DangoBrentfordMID,6,0.50%,5.3,35,2
DamsgaardBrentfordMID,5.8,0.60%,4,31,2
YarmoliukBrentfordMID,5,0.10%,2,29,2
ThiagoBrentfordFWD,6.2,8.40%,5,47,2
EnzoChelseaMID,6.7,14.30%,1.3,45,2
PickfordEvertonGKP,5.5,9.70%,1.7,35,2
TarkowskiEvertonDEF,5.5,6.20%,2,38,2
MykolenkoEvertonDEF,4.9,0.40%,1.3,11,2
O'BrienEvertonDEF,4.9,0.40%,1.3,27,2
Dewsbury-HallEvertonMID,4.9,2.90%,2,26,2
GarnerEvertonMID,5,0.90%,2,39,2
GrealishEvertonMID,6.9,17.20%,1,40,2
PerriLeedsGKP,4.5,0.20%,1,15,2
AaronsonLeedsMID,5.4,0.20%,5,34,2
TanakaLeedsMID,4.8,0.10%,2,13,2
OkaforLeedsMID,5.5,0.20%,2,27,2
Calvert-LewinLeedsFWD,5.5,1.30%,2,24,2
SzoboszlaiLiverpoolMID,6.6,4.40%,5.3,43,2
EkitikéLiverpoolFWD,8.6,15.80%,1.7,38,2
DonnarummaMan CityGKP,5.7,10.10%,3.3,25,2
GvardiolMan CityDEF,5.8,5.20%,1.3,28,2
Matheus N.Man CityDEF,5.3,0.70%,3.7,32,2
RúbenMan CityDEF,5.5,4.40%,4,39,2
BernardoMan CityMID,6.3,0.50%,1.7,20,2
DokuMan CityMID,6.4,4.70%,1.3,33,2
MbeumoMan UtdMID,8.4,29.00%,8.7,53,2
ŠeškoMan UtdFWD,7.3,5.10%,2.3,30,2
JoelintonNewcastleMID,5.9,0.30%,2.3,20,2
TonaliNewcastleMID,5.4,1.30%,1.7,28,2
SelsNott'm ForestGKP,4.8,8.30%,2,21,2
Hudson-OdoiNott'm ForestMID,5.8,0.80%,1.3,22,2
RoefsSunderlandGKP,4.7,7.00%,4.3,54,2
ReinildoSunderlandDEF,4,4.40%,1.3,18,2
GeertruidaSunderlandDEF,4.5,0.00%,1.7,9,2
TraoréSunderlandMID,5.5,0.00%,3.3,11,2
IsidorSunderlandFWD,5.6,3.60%,3.7,39,2
Pedro PorroSpursDEF,5.5,18.10%,4.7,44,2
SpenceSpursDEF,4.5,1.60%,3,30,2
Van de VenSpursDEF,4.8,32.90%,8.3,57,2
Kolo MuaniSpursFWD,6.9,0.20%,1.7,5,2
DioufWest HamDEF,4.4,3.20%,1.3,30,2
KilmanWest HamDEF,4.3,0.20%,2,19,2
SummervilleWest HamMID,5.5,0.10%,1.3,18,2
PottsWest HamMID,4.4,0.60%,1,6,2
BowenWest HamFWD,7.7,7.70%,3,44,2
WilsonWest HamFWD,5.8,0.40%,1.3,15,2
JohnstoneWolvesGKP,4.5,0.20%,1.7,13,2
S.BuenoWolvesDEF,4.4,0.10%,2.3,24,2
BellegardeWolvesMID,5.2,0.00%,1,11,2
Strand LarsenWolvesFWD,6.4,1.20%,3.3,19,2
Lewis-SkellyArsenalDEF,5.2,1.60%,0.7,6,1
HincapieArsenalDEF,5.4,0.00%,0.7,2,1
MerinoArsenalMID,5.9,0.60%,1,18,1
NørgaardArsenalMID,5.2,0.10%,0.7,2,1
NwaneriArsenalMID,5.2,0.10%,0.3,7,1
MartinezAston VillaGKP,5,2.00%,3.7,26,1
DigneAston VillaDEF,4.5,1.60%,4,33,1
KonsaAston VillaDEF,4.4,8.50%,3.7,27,1
MaatsenAston VillaDEF,4.3,0.40%,1,6,1
MingsAston VillaDEF,4.4,0.90%,0.3,24,1
PauAston VillaDEF,4.3,0.30%,3.7,19,1
RogersAston VillaMID,6.8,4.80%,3.7,33,1
MalenAston VillaMID,5.1,0.70%,1.3,26,1
McGinnAston VillaMID,5.4,0.60%,2,27,1
BarkleyAston VillaMID,4.8,0.00%,1,4,1
OnanaAston VillaMID,4.8,0.60%,2.7,15,1
SanchoAston VillaMID,5.8,0.20%,0.7,3,1
GuessandAston VillaMID,6.3,0.00%,1.3,13,1
WalkerBurnleyDEF,4.4,1.60%,6,29,1
EstèveBurnleyDEF,4,12.20%,3.3,25,1
HartmanBurnleyDEF,4,0.90%,4.7,35,1
Bruun LarsenBurnleyMID,5.3,0.00%,1.3,15,1
CullenBurnleyMID,5,2.30%,2,43,1
EdwardsBurnleyMID,4.7,0.10%,0.3,2,1
HannibalBurnleyMID,4.9,0.10%,1.7,17,1
TchaounaBurnleyMID,4.9,0.00%,2.3,20,1
FlemmingBurnleyFWD,5.3,0.20%,5.3,20,1
BrojaBurnleyFWD,5.2,0.10%,0.3,4,1
DiakitéBournemouthDEF,4.5,0.40%,1.3,30,1
A.JimenezBournemouthDEF,4.5,0.00%,2.7,9,1
ChristieBournemouthMID,5,0.10%,2.3,15,1
CookBournemouthMID,4.9,0.00%,1,4,1
Gannon-DoakBournemouthMID,4.9,0.00%,0.7,7,1
EvanilsonBournemouthFWD,7,1.40%,0.3,23,1
KelleherBrentfordGKP,4.5,7.80%,3,30,1
Lewis-PotterBrentfordDEF,4.9,0.30%,1.7,21,1
AjerBrentfordDEF,4.4,0.20%,3.7,19,1
KayodeBrentfordDEF,4.5,0.40%,3.7,30,1
NelsonBrentfordMID,4.8,0.10%,0.3,1,1
SchadeBrentfordMID,7,0.70%,4.7,32,1
CarvalhoBrentfordMID,4.9,0.20%,0.3,13,1
HendersonBrentfordMID,5,0.40%,1.7,27,1
JaneltBrentfordMID,4.9,0.00%,2,9,1
JensenBrentfordMID,4.9,0.10%,2.7,20,1
WatsonBrightonMID,4.9,0.00%,0.7,2,1
KnightBrightonMID,4.5,0.10%,0.3,1,1
OriolaBrightonMID,4.5,0.00%,0.3,1,1
TzimasBrightonFWD,5.3,0.10%,1,9,1
KostoulasBrightonFWD,4.8,0.30%,2.3,7,1
TosinChelseaDEF,4.3,0.40%,1,14,1
EstêvãoChelseaMID,6.5,2.30%,1.7,25,1
GittensChelseaMID,6.1,0.10%,1,8,1
LaviaChelseaMID,4.9,0.00%,0.7,4,1
CanvotCrystal PalaceDEF,4.5,0.00%,0.3,1,1
HughesCrystal PalaceMID,4.8,0.10%,0.7,13,1
DevennyCrystal PalaceMID,4.4,1.10%,0.3,9,1
McNeilEvertonMID,5.6,0.10%,0.7,3,1
IroegbunamEvertonMID,4.9,0.00%,0.7,13,1
BetoEvertonFWD,5.2,3.30%,1.7,20,1
Smith RoweFulhamMID,5.6,0.40%,1,15,1
AdamaFulhamMID,5.2,0.20%,1.3,10,1
CairneyFulhamMID,4.9,0.00%,1.3,8,1
ChukwuezeFulhamMID,5.3,0.00%,0.3,6,1
MunizFulhamFWD,5.4,1.00%,0.3,16,1
BogleLeedsDEF,4.5,0.20%,1.3,27,1
BijolLeedsDEF,3.9,0.10%,1.7,5,1
GudmundssonLeedsDEF,4,4.70%,1,26,1
RodonLeedsDEF,4.1,6.40%,5,45,1
JustinLeedsDEF,4,0.20%,0.3,4,1
HarrisonLeedsMID,5.2,0.10%,1.3,10,1
JamesLeedsMID,5.3,0.10%,1,10,1
AmpaduLeedsMID,4.9,0.10%,2.3,22,1
LongstaffLeedsMID,4.9,1.10%,3,37,1
StachLeedsMID,5,2.40%,1,36,1
NmechaLeedsFWD,5,0.60%,1,15,1
WirtzLiverpoolMID,8,7.30%,1.3,17,1
Aït-NouriMan CityDEF,5.8,4.80%,0.3,11,1
MarmoushMan CityMID,8.3,2.60%,0.7,11,1
SavinhoMan CityMID,6.9,0.50%,2.7,15,1
RodrigoMan CityMID,6.3,0.50%,0.3,12,1
ReijndersMan CityMID,5.5,22.00%,1,34,1
LammensMan UtdGKP,5,1.40%,2,15,1
De LigtMan UtdDEF,5,2.90%,1.3,30,1
DalotMan UtdDEF,4.4,1.00%,2,22,1
DorguMan UtdDEF,4.3,3.00%,0.3,11,1
ShawMan UtdDEF,4.5,0.50%,4,27,1
YoroMan UtdDEF,4.4,1.70%,1,23,1
SchärNewcastleDEF,5.4,1.80%,0.7,25,1
BurnNewcastleDEF,5.2,10.40%,1.7,48,1
ThiawNewcastleDEF,4.9,0.50%,1.3,23,1
GordonNewcastleMID,7.5,2.90%,1.7,12,1
ElangaNewcastleMID,6.7,3.60%,1,15,1
BarnesNewcastleMID,6.3,0.40%,1,15,1
OsulaNewcastleFWD,5.5,0.30%,2,18,1
WoltemadeNewcastleFWD,7.5,23.80%,3.7,35,1
MilenkovićNott'm ForestDEF,5.2,3.90%,1,15,1
N.WilliamsNott'm ForestDEF,4.7,3.40%,1,18,1
SangaréNott'm ForestMID,4.9,0.10%,0.7,13,1
NdoyeNott'm ForestMID,5.7,1.20%,1,27,1
Douglas LuizNott'm ForestMID,5,0.10%,0.7,7,1
AwoniyiNott'm ForestFWD,5.2,0.40%,1,3,1
HumeSunderlandDEF,4.5,0.40%,4.7,40,1
MukieleSunderlandDEF,4.2,5.50%,6.7,47,1
TalbiSunderlandMID,5,0.30%,4.3,33,1
BrobbeySunderlandFWD,5.5,0.10%,1.7,8,1
RomeroSpursDEF,5,4.20%,0.3,33,1
UdogieSpursDEF,4.4,0.40%,0.3,8,1
JohnsonSpursMID,6.7,3.10%,1.7,27,1
KudusSpursMID,6.6,28.50%,2,45,1
BergvallSpursMID,5.4,0.30%,1,24,1
OdobertSpursMID,5.3,0.00%,1,12,1
RicharlisonSpursFWD,6.5,8.20%,2,38,1
IgorWest HamDEF,4.5,0.10%,0.3,2,1
Walker-PetersWest HamDEF,4.3,0.30%,1,14,1
H.BuenoWolvesDEF,4.4,0.10%,1,20,1
HoeverWolvesDEF,3.9,0.90%,1,5,1
KrejčíWolvesDEF,4.5,0.10%,1.3,16,1
AndréWolvesMID,5.4,0.10%,2.3,24,1
GomesWolvesMID,5.3,0.10%,1.3,22,1
J.AriasWolvesMID,5.1,0.20%,1.7,19,1
ToluWolvesFWD,5.5,0.10%,1,9,1
