Player,Cost,Sel.%,Form,Pts.,RP
GomezBrightonMID,4.9,0.20%,6,25,16
SessegnonFulhamMID,5.4,0.50%,6.7,43,14
RiceArsenalMID,6.8,17.80%,7.7,63,13
HaalandMan CityFWD,14.8,70.00%,9.3,98,13
GabrielArsenalDEF,6.6,42.10%,11,80,12
CasemiroMan UtdMID,5.5,0.80%,9,42,12
GravenberchLiverpoolMID,5.6,4.20%,4.3,50,11
WiefferBrightonMID,4.9,0.20%,7,33,10
CaicedoChelseaMID,6,21.10%,4.3,58,10
GuéhiCrystal PalaceDEF,5,34.60%,6,64,10
LermaCrystal PalaceMID,4.9,0.10%,3.7,19,10
WilsonFulhamMID,5.2,0.30%,4,33,10
M.SalahLiverpoolMID,14.2,24.70%,6,52,10
CherkiMan CityMID,6.3,2.80%,4,19,10
XhakaSunderlandMID,5.1,5.40%,5.7,49,10
MintehBrightonMID,6,4.50%,5.3,47,9
João PedroChelseaFWD,7.4,46.30%,4.3,52,9
MatetaCrystal PalaceFWD,7.9,24.80%,9.3,48,9
NdiayeEvertonMID,6.5,11.20%,5,52,9
AmadMan UtdMID,6.3,1.40%,5,29,9
L.PaquetáWest HamMID,5.9,2.70%,4,41,9
AdamsBournemouthMID,5,0.40%,5.7,35,8
LacroixCrystal PalaceDEF,5,3.70%,4.3,50,8
RobertsonLiverpoolDEF,5.8,1.00%,3,11,8
KonatéLiverpoolDEF,5.4,2.70%,4.7,38,8
O’ReillyMan CityDEF,4.9,1.20%,6.7,40,8
J.MurphyNewcastleMID,6.1,1.10%,5.7,34,8
Gibbs-WhiteNott'm ForestMID,7.3,3.00%,4,30,8
GyökeresArsenalFWD,9,18.90%,3.7,37,7
Van HeckeBrightonDEF,4.4,1.30%,4.3,35,7
CucurellaChelseaDEF,6.1,21.90%,5.3,43,7
JamesChelseaDEF,5.5,8.20%,8.7,45,7
ChalobahChelseaDEF,5.1,7.70%,4.7,49,7
LenoFulhamGKP,5,1.60%,4,32,7
MamardashviliLiverpoolGKP,4.3,1.00%,3.3,12,7
SavonaNott'm ForestDEF,4.5,0.00%,3,10,7
Wan-BissakaWest HamDEF,4.3,5.80%,3,11,7
M.FernandesWest HamMID,5.5,0.00%,4.7,27,7
RayaArsenalGKP,5.8,31.80%,6,52,6
SalibaArsenalDEF,6,11.60%,4.3,38,6
CalafioriArsenalDEF,5.8,16.00%,6,60,6
J.TimberArsenalDEF,6.1,25.40%,6,66,6
TrossardArsenalMID,6.9,0.60%,6.3,31,6
VerbruggenBrightonGKP,4.4,4.10%,3,20,6
DunkBrightonDEF,4.5,1.10%,2.7,23,6
F.KadıoğluBrightonDEF,4.4,0.20%,2.3,16,6
WelbeckBrightonFWD,6.5,8.30%,8.3,43,6
SánchezChelseaGKP,4.8,13.50%,4,31,6
GustoChelseaDEF,4.9,1.00%,3,24,6
FofanaChelseaDEF,4.4,0.20%,2,9,6
HendersonCrystal PalaceGKP,5,7.60%,3,36,6
MuñozCrystal PalaceDEF,5.7,15.40%,6,54,6
MitchellCrystal PalaceDEF,5,2.20%,3,44,6
RichardsCrystal PalaceDEF,4.5,3.30%,3.7,44,6
AndersenFulhamDEF,4.5,2.80%,2.3,36,6
BasseyFulhamDEF,4.5,0.60%,2.7,26,6
TeteFulhamDEF,4.5,0.20%,2.7,23,6
BradleyLiverpoolDEF,5,0.20%,4,15,6
