Player,Cost,Sel.%,Form,Pts.,RP
ThiawNewcastleDEF,4.9,0.60%,6,46,16
FodenMan CityMID,8,5.60%,6,48,15
L.MileyNewcastleMID,4.4,1.90%,4,29,15
ThiagoBrentfordFWD,6.6,21.40%,8,77,13
E.Le FéeSunderlandMID,4.9,0.40%,5.8,49,13
O.DangoBrentfordMID,6,0.80%,5.8,56,12
TeteFulhamDEF,4.5,0.20%,6.8,44,12
WilsonFulhamMID,5.2,0.40%,5.8,46,10
AdamsBournemouthMID,5,0.50%,5.2,48,9
HickeyBrentfordDEF,4,0.30%,2.8,17,8
HendersonBrentfordMID,5,0.40%,3.2,39,8
TraoréSunderlandMID,5.5,0.10%,3.8,24,8
KudusSpursMID,6.5,16.70%,2.8,55,8
AdliBournemouthMID,5.4,0.00%,2.2,16,7
Dewsbury-HallEvertonMID,4.9,3.20%,7.8,55,7
Calvert-LewinLeedsFWD,5.5,0.80%,2.8,33,7
WoltemadeNewcastleFWD,7.4,19.20%,3.8,49,7
FlemmingBurnleyFWD,5.3,0.40%,3.5,33,6
GvardiolMan CityDEF,5.8,5.70%,3.8,41,6
BrobbeySunderlandFWD,5.5,0.20%,3.2,20,6
FlorentinoBurnleyMID,5,0.10%,3.2,35,5
EvanilsonBournemouthFWD,7,1.50%,3.2,35,5
KingFulhamMID,4.5,3.70%,3,27,5
ChukwuezeFulhamMID,5.3,0.00%,2.8,16,5
DonnarummaMan CityGKP,5.7,10.90%,3.5,37,5
HallNewcastleDEF,5.2,0.80%,1.8,16,5
BurnNewcastleDEF,5.1,7.30%,1.5,53,5
ElangaNewcastleMID,6.6,3.20%,2,22,5
XhakaSunderlandMID,5.2,6.70%,5,59,5
BergvallSpursMID,5.4,0.20%,1.5,29,5
AnthonyBurnleyMID,5.5,4.30%,2.5,55,4
CollinsBrentfordDEF,4.9,1.10%,1.8,37,4
DamsgaardBrentfordMID,5.8,0.60%,2.5,39,4
AndersenFulhamDEF,4.5,2.90%,5.8,53,4
SessegnonFulhamMID,5.4,0.70%,6.2,54,4
TanakaLeedsMID,4.8,0.10%,2,19,4
NmechaLeedsFWD,5,0.70%,5.2,35,4
O’ReillyMan CityDEF,5.1,6.20%,6,56,4
CherkiMan CityMID,6.4,3.90%,5.5,31,4
N.GonzalezMan CityMID,5.9,0.10%,4.5,34,4
Bruno G.NewcastleMID,6.6,4.30%,5.5,64,4
ReinildoSunderlandDEF,4,4.20%,1.8,23,4
WalkerBurnleyDEF,4.4,1.50%,1,32,3
EstèveBurnleyDEF,3.9,11.60%,2.5,34,3
HartmanBurnleyDEF,4,1.00%,1.5,40,3
TchaounaBurnleyMID,4.9,0.00%,2,27,3
SchadeBrentfordMID,7,1.40%,3.5,45,3
TarkowskiEvertonDEF,5.4,5.70%,4.5,54,3
PerriLeedsGKP,4.5,0.20%,2,21,3
StruijkLeedsDEF,4.4,0.30%,1,28,3
Matheus N.Man CityDEF,5.3,1.30%,4.8,49,3
ReijndersMan CityMID,5.4,15.80%,1.2,38,3
BallardSunderlandDEF,4.6,3.20%,4.5,53,3
CullenBurnleyMID,5,2.40%,3.8,57,2
FosterBurnleyFWD,5,1.40%,0.8,31,2
PetrovićBournemouthGKP,4.5,5.80%,1.5,43,2
SenesiBournemouthDEF,5,26.40%,2.5,63,2
KelleherBrentfordGKP,4.5,7.70%,1.8,36,2
KayodeBrentfordDEF,4.5,0.50%,2,37,2
Van den BergBrentfordDEF,4.5,0.70%,2.5,39,2
JensenBrentfordMID,4.9,0.10%,1.2,24,2
MykolenkoEvertonDEF,4.9,0.40%,4.8,28,2
KeaneEvertonDEF,4.5,2.10%,7.5,67,2
NdiayeEvertonMID,6.6,11.40%,4.2,60,2
GarnerEvertonMID,5,0.70%,3.2,50,2
GrealishEvertonMID,6.7,13.80%,2.5,48,2
BarryEvertonFWD,5.7,0.30%,1.5,16,2
BasseyFulhamDEF,4.5,0.50%,4.8,39,2
IwobiFulhamMID,6.4,1.30%,2.5,45,2
BergeFulhamMID,4.9,0.10%,3,32,2
AmpaduLeedsMID,4.9,0.10%,2.2,30,2
GruevLeedsMID,4.8,0.00%,0.5,9,2
DokuMan CityMID,6.6,9.40%,4.2,48,2
HaalandMan CityFWD,14.9,72.20%,5.2,106,2
RamsdaleNewcastleGKP,4.8,0.60%,0.5,2,2
LivramentoNewcastleDEF,4.9,2.80%,1,41,2
BarnesNewcastleMID,6.3,1.60%,6.8,41,2
JoelintonNewcastleMID,5.9,0.30%,2,26,2
SadikiSunderlandMID,5,0.10%,2.8,30,2
TalbiSunderlandMID,5,0.20%,1.2,37,2
IsidorSunderlandFWD,5.6,3.30%,2,45,2
DúbravkaBurnleyGKP,4,34.00%,1.8,38,1
Bruun LarsenBurnleyMID,5.3,0.00%,1,18,1
LaurentBurnleyMID,4.9,0.00%,1,17,1
UgochukwuBurnleyMID,5,0.10%,2.5,35,1
BrojaBurnleyFWD,5.2,0.10%,1,7,1
SmithBournemouthDEF,4.4,0.20%,0.8,11,1
