Player,Cost,Sel.%,Form,Pts.,RP
AldereteSunderlandDEF,4,4.00%,10,39,17
HaalandMan CityFWD,14.4,53.40%,11.8,62,16
LongstaffLeedsMID,4.9,0.30%,6.3,26,15
GabrielArsenalDEF,6.2,25.30%,6.5,38,13
ThiagoBrentfordFWD,6,2.30%,5.3,30,13
BuendíaAston VillaMID,5.3,0.10%,4,17,12
Matheus N.Man CityDEF,5.3,0.40%,3.8,16,12
S.BuenoWolvesDEF,4.4,0.10%,4,16,12
WelbeckBrightonFWD,6.3,2.10%,4,17,11
SarrCrystal PalaceMID,6.4,3.60%,4.5,29,11
KeaneEvertonDEF,4.5,0.80%,6,31,11
DokuMan CityMID,6.5,5.40%,6,28,10
RoefsSunderlandGKP,4.5,3.40%,7.3,39,10
RiceArsenalMID,6.5,8.10%,4.2,29,9
EnzoChelseaMID,6.7,13.50%,4.7,39,9
XhakaSunderlandMID,5,3.20%,6,29,9
J.PalhinhaSpursMID,5.5,1.00%,5.3,29,9
BowenWest HamFWD,7.7,6.30%,7.2,33,9
WatkinsAston VillaFWD,8.7,9.80%,3.5,18,8
KelleherBrentfordGKP,4.5,8.30%,3.7,18,8
De CuyperBrightonDEF,4.4,2.60%,2.8,13,8
GravenberchLiverpoolMID,5.6,4.60%,7,35,8
ŠeškoMan UtdFWD,7.3,4.60%,3.7,14,8
SenesiBournemouthDEF,4.9,20.50%,6.3,44,7
SemenyoBournemouthMID,7.8,53.30%,8.3,48,7
YarmoliukBrentfordMID,5,0.10%,4,21,7
GuéhiCrystal PalaceDEF,4.8,27.80%,8.8,43,7
GarnerEvertonMID,5,0.70%,5.3,32,7
RodonLeedsDEF,4,4.90%,4.3,29,7
WoltemadeNewcastleFWD,7.1,3.90%,6,18,7
MerinoArsenalMID,5.9,0.60%,3.2,14,6
McGinnAston VillaMID,5.4,0.60%,3.2,18,6
AnthonyBurnleyMID,5.6,4.60%,6.3,40,6
Kroupi.JrBournemouthFWD,4.5,1.60%,2,9,6
HendersonBrentfordMID,5,0.40%,4.7,21,6
JensenBrentfordMID,4.9,0.10%,2.7,11,6
RaúlFulhamFWD,6.3,1.00%,2.7,12,6
LivramentoNewcastleDEF,5.1,9.40%,6,37,6
TonaliNewcastleMID,5.4,1.30%,4,20,6
HumeSunderlandDEF,4.5,0.30%,5.3,25,6
