Player,Cost,Sel.%,Form,Pts.,RP
SemenyoBournemouthMID,7.9,58.70%,10.8,66,18
MalenAston VillaMID,5.1,0.60%,4.5,22,15
Bruno G.NewcastleMID,6.5,2.10%,4.5,30,14
GvardiolMan CityDEF,5.8,5.40%,6,24,12
KudusSpursMID,6.7,32.70%,6,39,12
J.TimberArsenalDEF,5.9,17.20%,5.5,48,11
RiceArsenalMID,6.5,8.70%,6,40,11
Van HeckeBrightonDEF,4.4,0.90%,4.5,22,11
BurnNewcastleDEF,5.1,7.90%,6.5,43,11
CaicedoChelseaMID,5.7,13.40%,7,45,10
GrealishEvertonMID,6.9,20.80%,3.8,37,10
MountMan UtdMID,5.9,0.20%,3,18,10
GabrielArsenalDEF,6.2,29.00%,8.2,47,9
SessegnonFulhamMID,5.4,0.10%,4.8,23,9
RúbenMan CityDEF,5.5,4.30%,4.8,27,9
LammensMan UtdGKP,5,0.30%,2.2,9,9
DalotMan UtdDEF,4.4,0.90%,2.5,16,9
ŠeškoMan UtdFWD,7.3,5.10%,5,23,9
TelSpursMID,6.3,0.10%,3.2,15,9
SakaArsenalMID,9.9,9.40%,2.8,20,8
EstêvãoChelseaMID,6.5,1.80%,3,20,8
MuñozCrystal PalaceDEF,5.6,12.50%,4.2,36,8
OkaforLeedsMID,5.5,0.20%,5,21,8
HaalandMan CityFWD,14.5,60.40%,11.5,70,8
De LigtMan UtdDEF,5,2.80%,3.5,26,8
ThiawNewcastleDEF,4.9,0.20%,4.5,19,8
H.BuenoWolvesDEF,4.4,0.10%,3.8,17,8
UgochukwuBurnleyMID,5,0.00%,1.8,13,7
KluivertBournemouthMID,7,0.90%,2.5,12,7
CucurellaChelseaDEF,6.1,21.90%,2,27,7
SarrCrystal PalaceMID,6.5,6.00%,4.5,36,7
NdiayeEvertonMID,6.5,10.80%,5,37,7
GakpoLiverpoolMID,7.5,11.90%,3.2,33,7
PopeNewcastleGKP,5.1,9.40%,5.8,41,7
Pedro PorroSpursDEF,5.6,21.70%,3.8,30,7
RayaArsenalGKP,5.7,27.80%,4,34,6
SalibaArsenalDEF,6,12.70%,2.2,25,6
CalafioriArsenalDEF,5.7,14.80%,3.5,42,6
EzeArsenalMID,7.6,13.40%,4.5,22,6
CullenBurnleyMID,5,2.00%,4.2,37,6
HillBournemouthDEF,4,0.90%,2.2,16,6
DonnarummaMan CityGKP,5.6,9.00%,3.8,15,6
ShawMan UtdDEF,4.5,0.30%,2.5,15,6
YoroMan UtdDEF,4.5,2.00%,2.2,20,6
MbeumoMan UtdMID,8.1,14.30%,3.2,27,6
BotmanNewcastleDEF,4.9,0.60%,4.5,26,6
TrippierNewcastleDEF,5,2.60%,3.5,27,6
WoltemadeNewcastleFWD,7.2,8.70%,6,24,6
RogersAston VillaMID,6.9,5.40%,3.8,22,5
KamaraAston VillaMID,4.9,0.10%,3,15,5
TruffertBournemouthDEF,4.5,2.10%,4.8,32,5
GustoChelseaDEF,4.9,1.20%,1.5,15,5
TarkowskiEvertonDEF,5.5,7.80%,4.2,32,5
