Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,15.1,74.2,6.8,163,6
RiceARSMID,7.3,25.9,6.3,122,3
SemenyoBOUMID,7.6,43.7,6.2,120,6
ThiagoBREFWD,7.1,33.4,6.7,120,12
Bruno G.NEWMID,7.2,20.6,6.0,117,11
GabrielARSDEF,6.7,30.4,5.2,112,6
B.FernandesMUNMID,9.1,12.1,3.5,106,7
GuéhiCRYDEF,5.3,39.7,2.3,105,6
J.TimberARSDEF,6.3,27.2,4.3,104,6
ChalobahCHEDEF,5.5,17.9,3.3,102,3
WilsonFULMID,5.8,19.5,6.7,102,9
RogersAVLMID,7.6,31.4,6.7,101,3
TarkowskiEVEDEF,5.7,12.7,4.5,100,4
FodenMCIMID,8.8,35.1,3.8,100,2
SakaARSMID,10.2,20.3,5.7,98,3
LacroixCRYDEF,5.1,5.9,3.0,98,8
KeaneEVEDEF,4.8,6.8,3.3,96,5
GarnerEVEMID,5.1,3.5,6.5,95,6
RúbenMCIDEF,5.7,5.5,4.7,95,0
RoefsSUNGKP,4.9,12.0,5.2,95,2
GravenberchLIVMID,5.7,6.4,4.7,94,3
Matheus N.MCIDEF,5.5,4.6,6.2,94,2
EnzoCHEMID,6.4,10.1,4.3,92,1
MukieleSUNDEF,4.3,9.5,6.0,92,3
PickfordEVEGKP,5.6,13.1,4.0,90,3
BowenWHUFWD,7.7,9.3,4.0,90,2
CollinsBREDEF,5.0,2.7,8.0,89,13
MuñozCRYDEF,5.8,6.2,0.0,89,0
Calvert-LewinLEEFWD,5.9,12.1,6.8,89,8
Van de VenTOTDEF,4.6,27.9,4.2,89,0
SenesiBOUDEF,4.8,14.2,2.8,88,6
NetoCHEMID,7.1,6.6,3.0,88,5
XhakaSUNMID,5.2,7.1,3.8,88,2
CashAVLDEF,4.8,10.6,2.3,87,6
StachLEEMID,4.9,3.2,4.2,87,2
CasemiroMUNMID,5.5,1.4,4.3,87,4
AndersonNFOMID,5.3,4.5,4.2,87,7
RayaARSGKP,5.9,33.6,3.3,86,6
TavernierBOUMID,5.5,2.4,4.2,86,5
SchadeBREMID,7.1,2.6,6.3,85,6
João PedroCHEFWD,7.2,26.8,3.3,84,1
MitchellCRYDEF,5.0,2.2,2.3,84,5
AaronsonLEEMID,5.4,0.4,6.0,84,14
EkitikéLIVFWD,9.0,26.9,4.8,84,0
JamesCHEDEF,5.7,11.4,3.7,83,1
WatkinsAVLFWD,8.7,13.6,6.0,81,2
KelleherBREGKP,4.5,9.4,6.8,81,13
Gibbs-WhiteNFOMID,7.3,3.0,4.3,81,9
TrossardARSMID,6.9,1.8,3.7,80,2
MatetaCRYFWD,7.6,11.2,3.2,80,2
MintehBHAMID,5.9,3.5,1.7,79,0
HendersonCRYGKP,5.1,8.0,2.7,79,7
VirgilLIVDEF,5.9,22.3,3.8,79,6
KonatéLIVDEF,5.4,3.3,4.5,79,7
O'ReillyMCIDEF,5.3,9.8,2.8,79,1
Van HeckeBHADEF,4.5,4.2,2.2,78,3
ReijndersMCIMID,5.2,12.5,5.3,78,2
