Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,14.8,67.4,6.8,193,6
SemenyoMCIMID,8.1,52.8,6.8,157,4
RiceARSMID,7.6,33.7,5.2,152,4
B.FernandesMUNMID,9.9,37.3,6.0,145,2
GabrielARSDEF,7.1,42.7,4.6,144,2
João PedroCHEFWD,7.7,47.0,8.8,139,7
ThiagoBREFWD,7.1,32.6,2.8,135,2
Bruno G.NEWMID,6.9,6.7,3.5,134,0
WilsonFULMID,5.9,20.8,3.5,128,8
J.TimberARSDEF,6.4,28.5,3.4,127,3
RogersAVLMID,7.7,31.5,4.0,127,2
ChalobahCHEDEF,5.7,21.7,3.0,126,2
GuéhiMCIDEF,5.2,36.9,3.8,126,2
BowenWHUFWD,7.6,8.2,4.8,124,4
VirgilLIVDEF,6.0,26.7,8.0,122,11
EnzoCHEMID,6.8,20.1,3.5,120,2
SakaARSMID,9.8,7.6,3.6,119,5
TarkowskiEVEDEF,5.7,11.0,1.5,118,1
AndersonNFOMID,5.4,6.3,5.2,118,5
Matheus N.MCIDEF,5.4,3.2,3.0,117,2
O'ReillyMCIDEF,5.0,8.3,8.2,117,17
LacroixCRYDEF,5.1,5.1,4.0,116,0
MbeumoMUNMID,8.7,23.4,5.5,115,6
CasemiroMUNMID,5.6,2.5,5.8,115,5
MukieleSUNDEF,4.6,13.2,3.2,115,1
GravenberchLIVMID,5.5,5.0,4.2,114,3
GarnerEVEMID,5.2,3.8,3.0,113,2
RayaARSGKP,6.0,34.4,3.8,112,3
SenesiBOUDEF,4.9,16.0,4.2,111,5
ZubimendiARSMID,5.3,5.2,5.6,109,2
HendersonCRYGKP,5.0,7.5,6.8,109,16
PickfordEVEGKP,5.6,13.1,1.5,109,1
FodenMCIMID,8.1,9.2,1.8,109,1
StachLEEMID,4.7,2.0,3.2,108,11
KonatéLIVDEF,5.4,3.8,6.8,108,9
RoefsSUNGKP,4.9,11.5,2.5,108,1
NetoCHEMID,7.0,4.9,3.2,107,8
MuñozCRYDEF,5.9,8.4,4.2,107,9
EkitikéLIVFWD,8.9,26.8,4.8,106,2
MitchellCRYDEF,5.0,2.1,5.0,105,11
KeaneEVEDEF,4.6,3.5,2.2,105,2
Gibbs-WhiteNFOMID,7.3,3.4,3.8,105,2
Calvert-LewinLEEFWD,5.8,9.7,2.8,104,2
JamesCHEDEF,5.6,8.2,1.8,103,6
RúbenMCIDEF,5.5,3.3,1.8,102,0
CashAVLDEF,4.9,11.1,1.5,101,2
Van HeckeBHADEF,4.4,3.7,4.0,101,9
AaronsonLEEMID,5.4,0.7,2.5,101,3
BallardSUNDEF,4.6,3.1,4.5,101,4
WirtzLIVMID,8.4,13.1,4.2,100,0
SzoboszlaiLIVMID,6.8,8.2,4.0,100,3
ThiawNEWDEF,5.0,4.4,3.8,100,3
E.Le FéeSUNMID,4.9,1.3,4.8,100,10
Van de VenTOTDEF,4.5,23.0,1.0,100,0
M.FernandesWHUMID,5.5,0.5,5.0,100,5
RichardsCRYDEF,4.4,2.7,3.8,99,6
KelleherBREGKP,4.7,11.4,3.8,98,2
TrossardARSMID,6.7,1.1,2.8,97,2
WatkinsAVLFWD,8.6,9.0,1.5,97,2
Dewsbury-HallEVEMID,5.0,3.4,5.2,97,4
DonnarummaMCIGKP,5.6,9.1,4.2,96,5
CunhaMUNMID,8.0,8.0,4.2,96,3
MartinezAVLGKP,5.1,4.8,4.8,95,3
TruffertBOUDEF,4.5,2.0,5.2,95,6
TavernierBOUMID,5.3,1.1,0.2,95,1
ScottBOUMID,5.0,1.2,6.0,95,5
SánchezCHEGKP,4.9,14.4,1.8,95,2
RaúlFULFWD,6.1,2.2,5.8,94,11
CollinsBREDEF,5.0,2.9,0.5,93,1
AndersenFULDEF,4.5,4.7,1.8,93,4
DalotMUNDEF,4.5,4.8,5.5,93,7
GakpoLIVMID,7.3,5.4,3.0,92,3
GyökeresARSFWD,8.8,12.2,7.0,91,13
CherkiMCIMID,6.4,8.1,2.8,91,1
XhakaSUNMID,5.1,3.4,0.2,91,1
CucurellaCHEDEF,6.1,14.6,3.0,90,0
NdiayeEVEMID,6.2,3.9,3.8,90,2
O.DangoBREMID,5.9,1.9,5.8,89,2
AldereteSUNDEF,4.1,6.4,2.5,89,1
RomeroTOTDEF,5.0,3.2,-0.8,89,0
J.PalhinhaTOTMID,5.5,0.8,2.5,88,4
KonsaAVLDEF,4.4,8.2,4.2,87,7
SchadeBREMID,6.9,1.2,-0.2,87,1
CaicedoCHEMID,5.7,7.8,2.8,87,2
SalibaARSDEF,6.1,13.6,3.2,86,2
CalafioriARSDEF,5.6,6.3,1.8,86,0
EzeARSMID,7.2,7.9,3.6,86,14
AnthonyBURMID,5.0,1.8,3.2,86,2
VerbruggenBHAGKP,4.5,5.5,3.8,86,7
O'BrienEVEDEF,4.9,0.7,1.5,86,0
AmpaduLEEMID,4.9,0.2,3.5,86,8
PetrovićBOUGKP,4.5,4.6,6.2,85,9
M.SalahLIVMID,14.0,14.2,4.0,85,3
WoltemadeNEWFWD,6.8,7.7,1.0,85,1
MintehBHAMID,5.6,2.0,0.8,84,0
MatetaCRYFWD,7.5,6.8,0.0,84,0
ReijndersMCIMID,5.0,9.9,0.5,84,0
AyariBHAMID,4.8,0.5,1.5,83,0
GustoCHEDEF,4.9,2.0,2.2,83,6
N.WilliamsNFODEF,4.7,2.9,2.5,83,4
VicarioTOTGKP,4.7,5.8,1.5,83,0
WelbeckBHAFWD,6.1,3.7,3.5,82,9
PalmerCHEMID,10.6,16.7,9.2,82,3
A.BeckerLIVGKP,5.4,6.2,4.2,82,7
RodonLEEDEF,3.9,3.9,3.2,81,4
PopeNEWGKP,5.1,4.6,1.8,81,2
MilenkovićNFODEF,5.1,3.2,3.5,80,4
SummervilleWHUMID,5.7,3.1,6.0,80,3
EvanilsonBOUFWD,6.9,2.6,1.8,79,2
GrealishEVEMID,6.3,6.0,0.0,79,0
IwobiFULMID,6.3,0.8,5.2,79,13
ŠeškoMUNFWD,7.2,4.0,5.8,79,8
Pedro PorroTOTDEF,5.1,9.3,0.0,79,0
DúbravkaBURGKP,4.0,32.5,1.2,78,2
UgochukwuBURMID,5.0,0.1,2.8,78,1
WhartonCRYMID,5.0,0.6,3.0,78,2
Lewis-PotterBREDEF,4.8,1.7,2.5,77,0
GvardiolMCIDEF,5.9,3.4,0.0,77,0
BuendíaAVLMID,5.3,0.5,1.2,76,1
StruijkLEEDEF,4.3,0.4,2.0,76,2
BarnesNEWMID,6.1,1.2,1.5,76,0
RicharlisonTOTFWD,6.3,5.4,0.2,76,1
HumeSUNDEF,4.5,0.3,2.2,75,1
KudusTOTMID,6.4,9.6,0.0,75,0
YarmoliukBREMID,5.0,0.1,1.0,74,0
LenoFULGKP,4.9,1.5,1.0,74,2
DorguMUNDEF,4.2,3.9,0.0,74,0
KayodeBREDEF,4.5,0.7,2.0,73,0
F.KadıoğluBHADEF,4.4,0.3,3.5,73,8
SarrCRYMID,6.4,3.8,4.8,73,2
SessegnonFULMID,5.4,0.2,3.0,73,2
DigneAVLDEF,4.5,1.5,1.0,72,0
DokuMCIMID,6.4,2.3,0.0,72,0
BurnNEWDEF,5.0,3.3,1.2,72,2
McGinnAVLMID,5.4,0.5,0.0,71,0
Van den BergBREDEF,4.5,0.8,4.5,71,3
TeteFULDEF,4.5,0.3,1.5,71,4
CullenBURMID,4.9,0.9,0.0,70,0
JaneltBREMID,4.9,0.3,3.8,70,1
DioufWHUDEF,4.0,1.7,6.2,70,9
Kroupi.JrBOUFWD,4.7,7.3,3.0,69,2
DunkBHADEF,4.5,1.0,4.0,69,6
GomezBHAMID,4.9,0.2,3.2,69,10
L.PaquetáWHUMID,5.9,1.1,0.0,69,0
ShawMUNDEF,4.5,0.8,3.8,68,6
AmadMUNMID,6.2,1.7,1.8,68,1
LammensMUNGKP,5.0,2.3,4.8,68,9
GordonNEWMID,7.2,2.6,3.2,68,2
Hudson-OdoiNFOMID,5.7,0.7,2.2,68,3
J.GomesWOLMID,5.3,0.3,2.2,68,1
MykolenkoEVEDEF,4.9,0.6,0.8,67,0
BarryEVEFWD,5.7,1.1,2.0,67,2
BergeFULMID,4.9,0.1,2.5,67,4
OkaforLEEMID,5.5,0.1,3.5,67,0
BernardoMCIMID,6.2,0.6,3.2,67,1
MerinoARSMID,5.4,0.9,0.0,66,0
BogleLEEDEF,4.4,0.2,3.2,66,1
MurilloNFODEF,5.2,1.9,1.0,66,2
HillBOUDEF,4.1,5.7,7.2,65,6
GeorginioBHAMID,5.6,0.3,0.8,65,0
KerkezLIVDEF,5.6,3.0,3.0,65,6
Mac AllisterLIVMID,6.2,1.4,4.8,65,13
SangaréNFOMID,4.9,0.1,2.5,65,4
H.BuenoWOLDEF,4.3,0.2,3.0,65,4
FlorentinoBURMID,5.0,0.0,0.8,64,0
DamsgaardBREMID,5.6,0.4,0.8,64,1
HendersonBREMID,5.0,0.3,1.2,64,2
YeremyCRYMID,5.8,0.2,1.5,64,3
BasseyFULDEF,4.4,0.4,2.2,64,7
BentancurTOTMID,5.3,0.2,0.0,64,0
S.BuenoWOLDEF,4.4,0.1,2.8,64,2
AjerBREDEF,4.4,0.2,3.8,63,1
HallNEWDEF,5.3,2.5,2.8,63,7
TonaliNEWMID,5.3,1.0,1.8,63,2
TalbiSUNMID,4.9,0.2,2.8,63,0
SoučekWHUMID,5.7,0.3,4.0,63,2
WilsonWHUFWD,5.8,0.6,1.0,63,1
ØdegaardARSMID,7.8,1.6,1.8,62,4
BrobbeySUNFWD,5.5,1.2,1.5,62,1
HincapieARSDEF,5.1,0.7,5.2,61,4
KamaraAVLMID,4.9,0.2,0.0,61,0
Smith RoweFULMID,5.6,0.5,1.8,61,2
NmechaLEEFWD,5.0,0.6,3.0,61,1
SelsNFOGKP,4.6,4.8,0.2,61,0
Igor JesusNFOFWD,5.8,1.2,1.5,61,2
XaviTOTMID,6.5,1.2,2.8,61,2
OnanaAVLMID,4.8,0.7,2.2,60,2
WiefferBHAMID,4.9,0.1,0.5,60,2
EstèveBURDEF,3.9,7.9,2.2,59,2
JensenBREMID,4.9,0.1,3.5,59,2
De CuyperBHADEF,4.3,1.8,2.2,59,1
MaguireMUNDEF,4.3,1.7,4.2,59,7
HutchinsonNFOMID,5.4,0.1,2.5,59,3
MavropanosWHUDEF,4.4,0.1,4.8,59,6
AdliBOUMID,5.4,0.7,5.0,58,3
L.MileyNEWMID,4.5,2.5,0.0,58,0
AndréWOLMID,5.2,0.1,1.6,58,3
GanaEVEMID,5.4,0.1,1.8,57,2
GudmundssonLEEDEF,3.8,3.8,0.5,57,1
P.M.SarrTOTMID,4.5,1.1,3.8,57,4
FlemmingBURFWD,5.3,0.3,3.5,56,9
JoelintonNEWMID,5.9,0.3,0.0,56,0
MalenAVLMID,5.1,0.4,0.0,55,0
AdamsBOUMID,4.9,0.3,1.2,55,5
EstêvãoCHEMID,6.4,2.2,0.8,55,0
Strand LarsenCRYFWD,6.2,2.4,4.2,55,2
N.GonzalezMCIMID,5.9,0.1,0.0,55,0
IsidorSUNFWD,5.1,1.4,1.0,55,1
SpenceTOTDEF,4.2,1.0,0.0,55,0
KrejčíWOLDEF,4.5,0.1,1.8,55,-1
J.MurphyNEWMID,5.9,0.6,0.8,54,1
SadikiSUNMID,4.9,0.1,2.2,54,2
Wan-BissakaWHUDEF,4.1,4.6,5.8,54,6
A.JimenezBOUDEF,4.5,0.2,3.2,53,6
BotmanNEWDEF,4.9,0.4,2.2,53,0
TielemansAVLMID,5.9,0.6,0.0,52,0
WalkerBURDEF,4.4,1.1,0.8,52,1
IroegbunamEVEMID,4.8,0.0,0.8,52,2
MaduekeARSMID,6.8,1.3,5.8,51,1
LermaCRYMID,4.9,0.1,3.8,51,0
