Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,14.5,59.5,5.0,212,0
B.FernandesMUNMID,10.4,46.9,5.0,204,5
GabrielARSDEF,7.2,43.6,4.0,185,8
SemenyoMCIMID,8.2,51.0,2.3,181,0
RiceARSMID,7.2,24.4,2.7,171,2
ThiagoBREFWD,7.4,35.3,5.3,169,1
BowenWHUFWD,7.8,14.9,8.7,169,10
Gibbs-WhiteNFOMID,7.6,11.1,11.7,168,13
João PedroCHEFWD,7.6,42.5,0.7,166,0
CasemiroMUNMID,5.8,4.1,8.7,160,12
WilsonFULMID,6.0,21.4,2.3,159,2
GuéhiMCIDEF,5.1,32.8,7.7,158,0
VirgilLIVDEF,6.2,33.4,7.0,156,4
RogersAVLMID,7.5,24.9,5.3,154,2
AndersonNFOMID,5.6,7.4,5.0,153,9
O'ReillyMCIDEF,5.1,15.8,9.0,152,0
J.TimberARSDEF,6.1,18.6,0.0,149,0
TarkowskiEVEDEF,5.7,12.1,2.3,149,3
GarnerEVEMID,5.3,4.2,3.0,148,3
SenesiBOUDEF,5.2,21.0,3.3,147,0
LacroixCRYDEF,5.1,5.5,6.0,146,3
Matheus N.MCIDEF,5.3,2.9,5.7,145,0
RayaARSGKP,6.0,34.3,4.0,141,10
Dewsbury-HallEVEMID,5.1,5.9,7.7,140,8
TruffertBOUDEF,4.7,4.4,5.7,139,0
Van HeckeBHADEF,4.6,9.8,5.7,137,0
Bruno G.NEWMID,6.8,4.6,1.0,137,2
SakaARSMID,9.8,7.1,0.3,134,1
SzoboszlaiLIVMID,7.1,12.9,3.7,134,1
ChalobahCHEDEF,5.4,9.4,0.7,133,0
EnzoCHEMID,6.5,11.4,1.3,133,0
WatkinsAVLFWD,8.8,15.8,6.7,129,2
MbeumoMUNMID,8.4,16.8,2.3,129,3
ZubimendiARSMID,5.0,3.1,3.7,128,5
PickfordEVEGKP,5.6,13.4,0.7,128,1
GravenberchLIVMID,5.5,4.0,1.3,128,1
MukieleSUNDEF,4.6,8.7,4.3,128,0
MuñozCRYDEF,5.8,8.1,5.7,126,6
MitchellCRYDEF,5.0,2.3,4.0,126,0
ScottBOUMID,5.1,2.6,5.7,125,0
