Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,15.1,74.0,2.8,165,2
RiceARSMID,7.4,30.1,5.6,125,3
ThiagoBREFWD,7.2,36.7,7.6,122,2
SemenyoMCIMID,7.6,45.4,4.6,122,2
GabrielARSDEF,6.9,35.6,7.8,120,8
Bruno G.NEWMID,7.3,23.7,7.2,120,3
B.FernandesMUNMID,9.2,16.8,3.4,116,10
ChalobahCHEDEF,5.5,19.0,3.2,110,8
J.TimberARSDEF,6.3,28.1,4.6,109,5
TarkowskiEVEDEF,5.7,13.2,6.2,108,8
GuéhiMCIDEF,5.2,37.9,2.4,105,0
WilsonFULMID,5.9,22.4,4.8,104,2
RogersAVLMID,7.7,31.8,2.4,103,2
FodenMCIMID,8.6,27.0,2.0,101,1
PickfordEVEGKP,5.6,13.2,6.0,100,10
SakaARSMID,10.1,18.4,4.2,99,1
LacroixCRYDEF,5.1,6.0,3.4,99,1
GarnerEVEMID,5.2,3.9,7.0,99,4
EnzoCHEMID,6.5,12.1,5.6,98,6
MukieleSUNDEF,4.4,11.6,5.6,98,6
RoefsSUNGKP,5.0,13.1,3.4,97,2
KeaneEVEDEF,4.7,4.7,3.0,96,0
GravenberchLIVMID,5.7,6.1,4.6,96,2
RúbenMCIDEF,5.6,4.0,2.8,95,0
TavernierBOUMID,5.5,2.6,3.8,94,8
Matheus N.MCIDEF,5.5,4.0,3.6,94,0
BowenWHUFWD,7.6,8.1,3.6,93,3
RayaARSGKP,5.9,33.5,3.4,92,6
João PedroCHEFWD,7.1,26.7,4.0,92,8
AndersonNFOMID,5.3,4.5,4.6,92,5
SenesiBOUDEF,4.8,13.9,3.0,91,3
NetoCHEMID,7.1,6.3,2.6,91,3
Calvert-LewinLEEFWD,6.0,14.0,4.2,91,2
CollinsBREDEF,5.0,3.9,7.4,90,1
JamesCHEDEF,5.7,10.5,3.2,90,7
CasemiroMUNMID,5.5,1.3,4.6,90,3
XhakaSUNMID,5.2,7.0,3.8,90,2
CashAVLDEF,4.8,11.2,2.8,89,2
MuñozCRYDEF,5.8,5.9,0.0,89,0
Van de VenTOTDEF,4.6,28.1,4.8,89,0
AaronsonLEEMID,5.4,0.8,6.4,87,3
StachLEEMID,4.9,3.0,3.0,87,0
SchadeBREMID,7.1,2.8,7.2,86,1
EkitikéLIVFWD,8.9,26.8,1.8,86,2
SánchezCHEGKP,4.9,13.6,3.6,85,11
Van HeckeBHADEF,4.5,4.3,3.6,84,6
MitchellCRYDEF,5.0,2.1,2.6,84,0
ThiawNEWDEF,5.1,6.4,6.2,84,9
Gibbs-WhiteNFOMID,7.3,2.9,4.8,84,3
WatkinsAVLFWD,8.8,13.4,5.6,83,2
MbeumoMUNMID,8.1,10.5,1.8,83,9
KelleherBREGKP,4.6,10.0,5.2,82,1
MatetaCRYFWD,7.5,10.4,3.4,82,2
TrossardARSMID,6.9,1.6,3.8,81,1
HendersonCRYGKP,5.1,7.8,3.4,81,2
VirgilLIVDEF,5.9,22.5,3.4,81,2
KonatéLIVDEF,5.4,3.5,3.8,81,2
WirtzLIVMID,8.3,12.5,7.2,81,10
BallardSUNDEF,4.6,3.0,1.2,81,4
RomeroTOTDEF,5.0,3.9,4.4,81,8
ZubimendiARSMID,5.2,2.2,4.2,80,3
MintehBHAMID,5.8,2.9,1.2,80,1
WoltemadeNEWFWD,7.2,14.6,2.2,80,2
GrealishEVEMID,6.4,9.1,2.6,79,3
ReijndersMCIMID,5.2,12.0,4.4,79,1
E.Le FéeSUNMID,4.9,1.1,3.8,79,8
AndersenFULDEF,4.6,5.4,3.0,78,2
GakpoLIVMID,7.3,5.8,2.6,78,2
O'ReillyMCIDEF,5.2,7.8,0.8,78,-1
AldereteSUNDEF,4.1,6.5,3.0,78,1
Pedro PorroTOTDEF,5.2,12.6,4.8,78,4
J.PalhinhaTOTMID,5.5,1.0,2.4,78,0
CalafioriARSDEF,5.6,6.2,0.0,77,0
RichardsCRYDEF,4.4,1.9,0.4,77,2
GvardiolMCIDEF,6.0,4.5,2.0,77,0
CherkiMCIMID,6.7,13.9,4.8,77,1
O'BrienEVEDEF,4.9,0.7,5.0,76,9
