Player,Cost,Sel.%,Form,Pts.,RP
HaalandMCIFWD,15.0,71.3,3.2,171,5
SemenyoMCIMID,7.8,48.9,4.8,137,7
B.FernandesMUNMID,9.6,29.8,6.4,131,10
GabrielARSDEF,7.0,39.3,6.4,129,8
RiceARSMID,7.5,32.1,5.4,129,3
ThiagoBREFWD,7.1,34.9,7.0,126,2
Bruno G.NEWMID,7.2,15.8,4.8,120,0
ChalobahCHEDEF,5.7,23.0,4.4,117,3
WilsonFULMID,6.1,24.5,5.8,116,2
J.TimberARSDEF,6.3,28.1,4.0,115,5
EnzoCHEMID,6.8,20.5,6.8,114,8
João PedroCHEFWD,7.4,37.9,6.6,114,10
TarkowskiEVEDEF,5.8,14.1,4.0,114,2
GuéhiMCIDEF,5.2,37.2,3.4,114,3
RogersAVLMID,7.7,31.2,4.0,113,2
BowenWHUFWD,7.6,8.6,5.8,113,8
Matheus N.MCIDEF,5.4,3.3,3.0,106,1
PickfordEVEGKP,5.6,14.2,3.8,105,2
GarnerEVEMID,5.2,4.6,4.0,105,4
CasemiroMUNMID,5.5,1.4,5.8,105,13
AndersonNFOMID,5.3,5.0,5.6,104,7
FodenMCIMID,8.3,14.0,1.4,103,1
SenesiBOUDEF,4.8,14.8,4.2,102,8
LacroixCRYDEF,5.1,5.7,3.0,102,2
MukieleSUNDEF,4.5,13.4,3.4,102,0
SakaARSMID,10.0,14.0,2.0,101,0
GravenberchLIVMID,5.6,5.1,2.4,101,4
EkitikéLIVFWD,8.8,24.6,3.2,100,13
RayaARSGKP,5.9,33.3,4.0,99,6
Gibbs-WhiteNFOMID,7.3,3.4,7.0,99,9
KeaneEVEDEF,4.7,4.0,1.4,98,2
RoefsSUNGKP,5.0,12.7,1.6,98,0
CashAVLDEF,4.8,11.7,4.2,97,2
JamesCHEDEF,5.7,11.4,3.2,97,1
StachLEEMID,4.8,2.6,3.2,97,2
NetoCHEMID,7.1,6.0,3.0,96,2
Van de VenTOTDEF,4.6,25.7,2.8,96,0
Calvert-LewinLEEFWD,6.0,12.1,3.2,95,2
WirtzLIVMID,8.3,13.2,7.4,95,12
RúbenMCIDEF,5.5,3.4,1.0,95,0
MbeumoMUNMID,8.4,19.4,4.2,95,2
TavernierBOUMID,5.4,1.5,3.0,94,0
VirgilLIVDEF,5.9,21.8,4.4,94,4
KelleherBREGKP,4.6,10.0,5.4,93,10
AaronsonLEEMID,5.4,0.9,6.0,93,2
CollinsBREDEF,5.0,3.8,5.2,92,1
MuñozCRYDEF,5.8,6.5,0.6,92,2
KonatéLIVDEF,5.4,2.9,4.2,92,11
RomeroTOTDEF,5.0,4.4,4.8,92,0
ZubimendiARSMID,5.2,2.3,4.4,91,10
WatkinsAVLFWD,8.7,11.0,3.8,91,0
SánchezCHEGKP,4.9,14.8,3.6,90,2
XhakaSUNMID,5.1,4.8,1.6,90,0
SzoboszlaiLIVMID,6.7,6.2,4.6,89,5
CunhaMUNMID,8.0,8.3,6.6,88,9
Van HeckeBHADEF,4.5,4.4,3.6,87,2
MitchellCRYDEF,5.0,2.0,2.0,87,2
CherkiMCIMID,6.6,10.3,3.2,87,7
TrossardARSMID,6.8,1.4,1.8,86,3
SchadeBREMID,7.1,2.3,2.6,86,-2
AndersenFULDEF,4.6,5.1,3.0,86,0
CucurellaCHEDEF,6.0,16.5,2.6,85,7
RichardsCRYDEF,4.4,2.0,2.0,85,1
O'BrienEVEDEF,4.9,0.8,4.0,85,5
O'ReillyMCIDEF,5.0,5.4,1.8,85,1
ThiawNEWDEF,5.1,5.5,5.2,85,0
ScottBOUMID,5.0,0.4,5.6,84,13
HendersonCRYGKP,5.0,7.4,2.8,84,2
MatetaCRYFWD,7.5,8.6,1.6,84,0
GakpoLIVMID,7.3,5.5,3.4,84,4
M.FernandesWHUMID,5.5,0.2,5.0,84,4
AyariBHAMID,4.8,1.1,6.8,83,6
ReijndersMCIMID,5.1,10.9,3.4,83,1
BallardSUNDEF,4.6,3.1,1.6,83,0
MintehBHAMID,5.7,2.5,0.6,82,1
WoltemadeNEWFWD,7.1,10.5,2.0,82,1
J.PalhinhaTOTMID,5.5,0.9,2.6,82,4
DonnarummaMCIGKP,5.6,9.1,3.0,81,2
E.Le FéeSUNMID,4.9,1.4,2.8,81,0
TruffertBOUDEF,4.5,1.7,3.0,80,6
CaicedoCHEMID,5.7,8.0,2.8,79,3
GrealishEVEMID,6.3,6.9,2.4,79,0
AldereteSUNDEF,4.1,6.6,0.8,79,0
Pedro PorroTOTDEF,5.2,11.0,1.8,79,0
CalafioriARSDEF,5.6,6.1,0.2,78,1
MartinezAVLGKP,5.0,3.4,3.6,78,2
Dewsbury-HallEVEMID,4.9,2.2,0.6,78,2
VicarioTOTGKP,4.8,6.3,1.2,78,1
NdiayeEVEMID,6.2,4.1,0.8,77,2
RaúlFULFWD,6.2,1.9,4.0,77,6
GvardiolMCIDEF,5.9,3.8,0.2,77,0
SalibaARSDEF,6.0,12.5,4.6,76,6
GustoCHEDEF,4.9,1.9,1.2,75,1
PopeNEWGKP,5.1,4.9,3.6,75,1
KudusTOTMID,6.4,10.2,0.2,75,0
RicharlisonTOTFWD,6.3,5.8,0.6,75,0
EvanilsonBOUFWD,7.1,3.6,5.0,74,2
O.DangoBREMID,5.8,0.3,2.0,74,8
VerbruggenBHAGKP,4.5,5.9,3.2,74,3
AmpaduLEEMID,4.9,0.2,3.2,74,2
M.SalahLIVMID,14.0,14.3,2.0,74,5
DorguMUNDEF,4.4,7.3,5.8,74,0
BuendíaAVLMID,5.3,0.5,3.6,73,2
AnthonyBURMID,5.0,1.9,2.4,73,0
DúbravkaBURGKP,4.0,32.9,2.8,73,0
DalotMUNDEF,4.5,3.6,2.2,73,2
KonsaAVLDEF,4.4,7.5,3.8,72,2
LenoFULGKP,4.9,1.6,2.4,72,2
DokuMCIMID,6.4,2.7,2.4,72,0
BarnesNEWMID,6.1,1.5,4.6,72,2
McGinnAVLMID,5.4,0.7,3.8,71,0
YarmoliukBREMID,5.0,0.1,3.4,71,1
N.WilliamsNFODEF,4.7,3.2,3.4,71,-2
CullenBURMID,4.9,0.9,0.0,70,0
PetrovićBOUGKP,4.5,4.3,3.0,70,10
KayodeBREDEF,4.5,0.7,2.6,70,5
WelbeckBHAFWD,6.2,4.1,1.4,70,2
StruijkLEEDEF,4.3,0.5,4.4,70,2
RodonLEEDEF,3.9,3.6,2.6,70,2
EzeARSMID,7.2,8.0,0.6,69,1
MilenkovićNFODEF,5.1,3.2,4.4,69,3
L.PaquetáWHUMID,5.9,1.3,0.4,69,0
DigneAVLDEF,4.5,1.6,2.8,68,0
Lewis-PotterBREDEF,4.9,1.9,1.8,68,1
BurnNEWDEF,5.0,3.2,0.2,68,1
UgochukwuBURMID,5.0,0.1,2.2,67,0
A.BeckerLIVGKP,5.4,5.9,3.2,67,2
MerinoARSMID,5.5,1.4,1.8,66,0
WhartonCRYMID,5.0,0.6,1.4,66,0
HumeSUNDEF,4.5,0.3,0.6,66,0
TeteFULDEF,4.5,0.3,0.0,65,0
SessegnonFULMID,5.4,0.2,1.8,65,4
Kroupi.JrBOUFWD,4.7,5.8,4.4,64,7
MykolenkoEVEDEF,4.9,0.7,2.0,64,0
MurilloNFODEF,5.2,2.1,4.6,64,2
BentancurTOTMID,5.3,0.2,1.0,64,0
GyökeresARSFWD,8.7,9.4,2.6,63,7
GeorginioBHAMID,5.6,0.4,2.6,63,1
AmadMUNMID,6.2,1.6,1.4,63,2
SummervilleWHUMID,5.5,0.6,6.2,63,7
ŠeškoMUNFWD,7.2,3.3,4.4,62,6
KamaraAVLMID,4.9,0.3,1.4,61,0
FlorentinoBURMID,5.0,0.0,3.2,61,0
Van den BergBREDEF,4.5,0.7,1.8,61,8
DamsgaardBREMID,5.6,0.5,2.0,61,0
F.KadıoğluBHADEF,4.4,0.4,3.2,61,2
SarrCRYMID,6.3,2.1,1.8,61,7
BarryEVEFWD,5.7,1.3,5.4,61,2
GordonNEWMID,7.3,3.5,2.8,61,6
SelsNFOGKP,4.6,5.7,4.2,61,1
HendersonBREMID,5.0,0.4,0.8,60,1
IwobiFULMID,6.3,0.7,0.8,60,2
BernardoMCIMID,6.2,0.5,3.4,60,6
Hudson-OdoiNFOMID,5.7,0.8,1.8,60,1
WilsonWHUFWD,5.8,0.6,2.0,60,1
GomesWOLMID,5.3,0.1,2.8,60,3
JaneltBREMID,4.9,0.3,5.0,59,4
YeremyCRYMID,5.8,0.2,3.2,59,1
BergeFULMID,4.9,0.1,3.2,59,2
WiefferBHAMID,4.9,0.1,0.0,58,0
KerkezLIVDEF,5.6,2.9,3.2,58,5
TonaliNEWMID,5.3,1.0,2.4,58,2
L.MileyNEWMID,4.5,3.4,2.8,58,0
ØdegaardARSMID,7.8,2.2,3.8,57,4
DunkBHADEF,4.5,1.0,3.6,57,4
SangaréNFOMID,4.9,0.1,2.0,57,2
Igor JesusNFOFWD,5.8,1.3,3.4,57,2
De CuyperBHADEF,4.3,1.9,1.8,56,6
GomezBHAMID,4.9,0.2,1.8,56,0
BasseyFULDEF,4.4,0.4,0.2,56,1
Smith RoweFULMID,5.6,0.6,2.8,56,2
JoelintonNEWMID,5.9,0.3,3.2,56,0
BrobbeySUNFWD,5.6,1.6,5.4,56,0
XaviTOTMID,6.5,1.1,3.4,56,6
MalenAVLMID,5.1,0.5,0.4,55,0
AjerBREDEF,4.4,0.2,3.6,55,7
N.GonzalezMCIMID,5.9,0.1,0.8,55,0
HallNEWDEF,5.3,3.0,4.6,55,3
SpenceTOTDEF,4.3,1.1,0.8,55,0
GudmundssonLEEDEF,3.8,3.8,1.4,54,-1
OkaforLEEMID,5.5,0.1,1.6,54,1
ShawMUNDEF,4.5,0.7,2.0,54,1
BogleLEEDEF,4.4,0.2,1.6,53,0
AndréWOLMID,5.3,0.1,1.6,53,3
TielemansAVLMID,5.9,0.8,3.0,52,0
EstêvãoCHEMID,6.4,2.6,2.8,52,0
GanaEVEMID,5.4,0.1,1.6,52,2
J.MurphyNEWMID,5.9,0.6,1.0,52,1
TalbiSUNMID,4.9,0.1,0.2,52,0
H.BuenoWOLDEF,4.3,0.2,4.4,52,2
S.BuenoWOLDEF,4.4,0.1,3.4,52,2
OnanaAVLMID,4.8,0.6,1.0,51,0
LammensMUNGKP,5.0,1.9,2.6,51,2
SchärNEWDEF,5.2,1.3,2.2,51,0
IsidorSUNFWD,5.2,1.6,0.2,51,0
AreolaWHUGKP,4.3,2.2,2.2,51,2
EstèveBURDEF,3.9,8.1,1.6,50,0
AdamsBOUMID,4.9,0.3,0.0,50,0
LukićFULMID,4.9,0.1,1.0,50,0
PauAVLDEF,4.3,0.3,2.0,49,2
WalkerBURDEF,4.4,1.1,1.4,49,0
IroegbunamEVEMID,4.8,0.0,2.2,49,0
NmechaLEEFWD,5.0,0.5,1.8,49,0
LivramentoNEWDEF,4.9,2.0,0.4,49,0
HutchinsonNFOMID,5.4,0.1,1.0,49,0
